,stock_code,release_date,report_year
177,02638.HK,2018-04-03,2017
178,00293.HK,2018-04-03,2017
179,01456.HK,2018-04-03,2017
180,00531.HK,2018-04-03,2017
181,02638.HK,2018-04-03,2017
182,00329.HK,2018-04-04,2017
183,01972.HK,2018-04-04,2017
184,02203.HK,2018-04-04,2017
185,01972.HK,2018-04-04,2017
186,02383.HK,2018-04-04,2017
187,01038.HK,2018-04-04,2017
188,00036.HK,2018-04-04,2017
189,02638.HK,2018-04-06,2017
190,00887.HK,2018-04-06,2017
191,00352.HK,2018-04-06,2017
192,01007.HK,2018-04-06,2017
193,00232.HK,2018-04-06,2017
194,00006.HK,2018-04-06,2017
195,00632.HK,2018-04-06,2017
196,00001.HK,2018-04-06,2017
197,01113.HK,2018-04-06,2017
198,03389.HK,2018-04-06,2017
199,02638.HK,2018-04-06,2017
200,01396.HK,2018-04-06,2017
201,03737.HK,2018-04-06,2017
202,00916.HK,2018-04-08,2017
203,00814.HK,2018-04-09,2017
204,00639.HK,2018-04-09,2017
205,02339.HK,2018-04-09,2017
206,00118.HK,2018-04-09,2017
207,02038.HK,2018-04-09,2017
208,00848.HK,2018-04-09,2017
209,02038.HK,2018-04-09,2017
210,01962.HK,2018-04-09,2017
211,00804.HK,2018-04-09,2017
212,02777.HK,2018-04-09,2017
213,03903.HK,2018-04-09,2017
214,00019.HK,2018-04-09,2017
215,00087.HK,2018-04-09,2017
216,03883.HK,2018-04-09,2017
217,02382.HK,2018-04-09,2017
218,00351.HK,2018-04-09,2017
219,00827.HK,2018-04-09,2017
220,03818.HK,2018-04-09,2017
221,05542.HK,2018-04-10,2017
222,05873.HK,2018-04-10,2017
223,00700.HK,2018-04-10,2017
224,05094.HK,2018-04-10,2017
225,01282.HK,2018-04-10,2017
226,05093.HK,2018-04-10,2017
227,00993.HK,2018-04-10,2017
228,01836.HK,2018-04-10,2017
229,00536.HK,2018-04-10,2017
230,02357.HK,2018-04-10,2017
231,01549.HK,2018-04-10,2017
232,00218.HK,2018-04-10,2017
