,stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
76,00017.HK,19/10/2017,24/12/2018,30/12/2019,27/10/2020,22/10/2021,25/10/2022,24/10/2023
77,00565.HK,18/10/2017,10/10/2018,25/10/2019,23/10/2020,29/10/2021,28/10/2022,30/10/2023
78,00855.HK,18/10/2017,23/10/2018,22/10/2019,23/10/2020,22/10/2021,26/08/2022,27/07/2023
79,01660.HK,18/10/2017,28/09/2018,17/09/2019,25/09/2020,28/09/2021,31/08/2022,31/07/2023
80,00276.HK,17/10/2017,28/09/2018,16/09/2019,30/09/2020,27/08/2021,24/08/2022,20/07/2023
81,00131.HK,17/10/2017,16/10/2018,,,21/10/2021,,
82,01047.HK,17/10/2017,18/10/2018,18/10/2019,19/10/2020,19/10/2021,17/10/2022,16/10/2023
83,01001.HK,15/10/2018,26/08/2019,21/08/2020,09/07/2021,15/07/2022,14/07/2023,
84,00973.HK,13/10/2017,16/10/2018,15/10/2019,23/10/2020,27/09/2021,31/08/2022,01/08/2023
85,00280.HK,13/10/2017,08/10/2018,14/10/2019,28/09/2020,30/09/2021,21/07/2022,20/07/2023
86,00057.HK,13/10/2017,16/10/2018,20/10/2020,31/08/2021,25/07/2022,19/07/2023,
87,00591.HK,13/10/2017,12/10/2018,15/10/2019,14/10/2020,15/10/2021,25/10/2022,25/10/2023
88,00411.HK,12/10/2017,11/10/2018,11/10/2019,07/10/2020,06/10/2021,07/10/2022,10/10/2023
89,00053.HK,12/10/2017,28/12/2018,11/12/2019,31/12/2020,30/11/2021,28/10/2022,19/10/2023
90,00918.HK,31/08/2018,21/10/2019,21/08/2020,31/08/2021,25/07/2022,19/07/2023,
91,02368.HK,11/10/2017,10/10/2018,18/10/2019,23/10/2020,15/10/2021,30/08/2022,24/07/2023
92,00252.HK,11/10/2018,02/10/2019,23/10/2020,22/10/2021,28/07/2022,27/07/2023,
93,00384.HK,03/09/2018,17/09/2019,03/09/2020,30/08/2021,22/07/2022,20/07/2023,
94,00592.HK,05/11/2018,04/10/2019,14/10/2020,14/04/2022,,27/04/2023,
95,00959.HK,09/10/2017,04/10/2018,16/10/2019,16/10/2020,15/10/2021,31/08/2022,28/07/2023
96,01130.HK,09/10/2017,21/12/2018,09/12/2019,13/11/2020,30/11/2021,18/11/2022,17/10/2023
97,01123.HK,,17/07/2019,15/07/2020,14/07/2021,14/07/2022,13/07/2023,
98,00321.HK,06/10/2017,08/10/2018,09/10/2019,14/09/2020,16/09/2021,30/08/2022,18/07/2023
99,00938.HK,04/10/2017,21/06/2018,23/06/2019,29/07/2020,29/07/2021,28/07/2022,28/07/2023
100,00026.HK,03/10/2018,,,,13/10/2022,,
101,08347.HK,02/10/2017,27/06/2018,28/06/2019,07/07/2020,31/08/2021,22/07/2022,
102,08299.HK,29/06/2018,27/09/2019,30/09/2020,30/09/2021,31/08/2022,,
103,00674.HK,29/09/2017,14/09/2018,10/09/2019,17/09/2020,23/09/2021,31/08/2022,26/07/2023
104,08300.HK,29/09/2017,28/09/2018,27/09/2019,30/09/2020,,31/08/2022,27/06/2023
105,01466.HK,29/09/2017,17/08/2018,03/09/2019,14/08/2020,23/08/2021,17/08/2022,28/07/2023
106,01830.HK,29/09/2017,28/09/2018,02/10/2019,07/10/2020,11/10/2021,31/08/2022,10/07/2023
107,08250.HK,29/09/2017,27/09/2018,26/09/2019,29/09/2020,29/09/2021,29/09/2022,28/09/2023
108,00224.HK,26/10/2018,24/10/2019,30/10/2020,30/08/2021,29/07/2022,28/07/2023,
109,08320.HK,29/09/2017,28/09/2018,30/09/2019,30/09/2020,30/08/2022,28/06/2023,
110,00213.HK,29/09/2017,25/10/2018,24/10/2019,27/10/2020,20/10/2021,31/08/2022,28/07/2023
111,00030.HK,28/09/2018,27/09/2019,15/09/2020,24/09/2021,31/08/2022,28/07/2023,
112,00684.HK,11/10/2018,09/10/2019,08/10/2020,11/10/2021,01/08/2022,12/07/2023,
113,00101.HK,20/06/2018,20/06/2019,28/05/2020,13/05/2021,17/05/2022,04/04/2023,
114,08326.HK,29/09/2017,21/08/2018,04/07/2019,31/07/2020,16/07/2021,18/07/2022,29/06/2023
115,08193.HK,28/09/2017,31/08/2018,26/09/2019,29/09/2020,29/09/2021,29/08/2022,29/06/2023
116,08072.HK,18/09/2018,04/09/2019,21/09/2020,24/09/2021,23/08/2022,29/06/2023,
117,01536.HK,18/07/2018,01/08/2019,31/07/2020,30/07/2021,27/07/2022,11/07/2023,
118,00464.HK,28/09/2017,20/07/2018,15/08/2019,24/08/2020,19/07/2021,21/07/2022,31/07/2023
119,08200.HK,27/09/2017,18/09/2018,20/09/2019,18/09/2020,10/09/2021,19/08/2022,
120,08319.HK,27/09/2017,21/09/2018,13/09/2019,18/09/2020,17/09/2021,30/08/2022,27/06/2023
121,08161.HK,,,,,,,30/06/2023
122,08220.HK,28/09/2018,04/09/2019,18/09/2020,17/09/2021,09/08/2022,30/06/2023,
123,00401.HK,18/09/2018,02/10/2019,18/09/2020,27/07/2021,28/07/2022,25/07/2023,
124,08041.HK,26/09/2017,26/09/2018,27/09/2019,29/09/2020,29/09/2021,29/09/2022,27/09/2023
125,08277.HK,25/09/2017,28/09/2018,24/09/2019,30/09/2020,28/09/2021,29/08/2022,29/06/2023
126,08069.HK,25/09/2017,27/06/2019,29/06/2020,29/06/2021,29/06/2022,29/06/2023,
127,08262.HK,25/09/2017,28/09/2018,30/09/2019,30/09/2020,30/09/2021,30/09/2022,29/09/2023
128,00223.HK,21/09/2017,24/08/2018,06/09/2019,28/08/2020,25/08/2021,22/08/2022,27/07/2023
129,01673.HK,21/09/2017,24/10/2018,31/10/2019,30/10/2020,24/10/2021,03/02/2023,30/10/2023
130,00130.HK,20/09/2017,21/09/2018,24/09/2019,16/10/2020,26/10/2021,30/08/2022,26/07/2023
131,00435.HK,19/09/2018,20/09/2019,24/09/2020,04/10/2021,03/10/2022,29/09/2023,
132,03306.HK,18/09/2018,16/09/2019,10/09/2020,17/09/2021,15/09/2022,03/10/2023,
133,02668.HK,18/07/2018,30/07/2019,24/07/2020,26/07/2021,30/05/2022,27/04/2023,
134,00403.HK,02/10/2018,12/09/2019,25/08/2020,26/08/2021,14/07/2022,17/07/2023,
135,01733.HK,31/07/2018,29/07/2019,20/07/2020,31/05/2021,20/05/2022,17/04/2023,
136,01633.HK,14/09/2017,17/09/2018,16/09/2019,17/09/2020,20/08/2021,30/08/2022,07/07/2023
137,08269.HK,13/09/2017,31/08/2018,25/09/2019,11/09/2020,10/09/2021,30/06/2022,30/06/2023
138,08067.HK,13/09/2017,12/09/2018,19/09/2019,18/09/2020,30/09/2021,29/09/2022,18/09/2023
139,01667.HK,18/10/2018,13/09/2019,29/09/2020,28/10/2021,31/08/2022,27/07/2023,
140,08295.HK,21/09/2018,26/09/2019,21/09/2020,19/08/2021,16/08/2022,29/06/2023,
141,01559.HK,,04/10/2018,30/10/2019,23/10/2020,08/10/2021,30/08/2022,28/07/2023
142,01105.HK,20/04/2018,18/04/2019,15/04/2020,20/04/2021,21/04/2022,17/04/2023,
143,01271.HK,18/09/2018,10/09/2019,24/08/2020,31/08/2021,29/08/2022,05/07/2023,
144,00336.HK,21/09/2018,24/06/2019,19/06/2020,02/06/2021,29/04/2022,20/04/2023,
145,08023.HK,06/09/2017,28/06/2018,28/06/2019,28/08/2020,27/08/2021,26/08/2022,30/06/2023
146,00052.HK,09/10/2018,22/10/2019,20/10/2020,21/10/2021,17/08/2022,28/07/2023,
147,02138.HK,,26/09/2018,22/10/2019,21/10/2020,22/10/2021,16/11/2022,25/07/2023
148,00738.HK,01/09/2017,10/09/2018,04/09/2019,03/09/2020,30/07/2021,16/06/2022,15/06/2023
149,02382.HK,09/04/2018,08/04/2019,22/06/2020,29/06/2021,30/05/2022,21/04/2023,
150,00093.HK,31/08/2017,21/08/2018,16/08/2019,11/06/2021,20/05/2022,26/04/2023,
151,02293.HK,30/08/2017,30/08/2018,11/10/2019,29/09/2020,22/10/2021,24/10/2022,24/10/2023
152,00992.HK,31/08/2018,27/08/2019,28/08/2020,27/08/2021,26/08/2022,26/06/2023,
153,01121.HK,27/04/2018,26/04/2019,28/04/2020,29/04/2021,28/04/2022,28/04/2023,
154,01245.HK,29/08/2017,29/08/2018,27/08/2019,18/09/2020,31/08/2021,30/08/2022,07/06/2023
155,08356.HK,14/09/2018,25/09/2019,28/09/2020,29/09/2021,21/11/2023,23/11/2023,
156,01373.HK,24/08/2017,24/08/2018,26/08/2019,24/08/2020,23/08/2021,30/08/2022,28/08/2023
157,08428.HK,16/08/2017,29/08/2018,23/09/2019,30/09/2020,25/08/2021,19/08/2022,30/06/2023
158,00789.HK,26/10/2018,24/07/2019,20/07/2020,28/07/2021,28/07/2022,25/07/2023,
159,00794.HK,14/08/2017,08/10/2018,12/09/2019,16/09/2020,31/08/2021,31/08/2022,28/07/2023
160,08222.HK,14/08/2017,28/08/2019,28/08/2020,27/08/2021,18/08/2022,29/06/2023,
161,00417.HK,10/10/2018,16/08/2019,26/08/2020,20/08/2021,25/08/2022,20/07/2023,
162,08080.HK,31/08/2018,15/08/2019,09/07/2020,09/08/2021,28/06/2022,29/06/2023,
163,01400.HK,13/07/2018,06/06/2019,06/10/2020,26/07/2021,31/05/2022,19/04/2023,
164,08053.HK,26/06/2018,24/06/2019,24/06/2020,30/06/2021,29/06/2022,,29/06/2023
165,00657.HK,06/07/2018,12/07/2019,02/07/2020,07/07/2021,19/08/2022,06/07/2023,
166,00179.HK,02/08/2017,20/08/2018,12/08/2019,17/08/2020,05/08/2021,26/08/2022,13/06/2023
167,08057.HK,08/08/2018,30/08/2019,28/09/2020,28/09/2021,29/06/2022,28/06/2023,
168,00923.HK,01/08/2017,01/08/2018,06/08/2019,06/08/2020,02/08/2021,28/07/2022,28/07/2023
169,00482.HK,26/07/2018,10/06/2019,23/06/2020,18/05/2021,27/05/2022,28/04/2023,
170,01225.HK,31/07/2018,30/07/2019,13/08/2020,26/07/2021,31/05/2022,27/04/2023,
171,00573.HK,31/07/2018,31/07/2019,31/07/2020,30/06/2021,31/05/2022,26/04/2023,
172,00969.HK,31/07/2018,31/07/2019,31/07/2020,30/07/2021,31/05/2022,27/04/2023,
173,00485.HK,31/07/2017,27/07/2018,29/07/2019,31/07/2020,30/07/2021,04/08/2022,31/07/2023
174,01220.HK,31/07/2017,30/09/2019,29/09/2020,30/08/2021,29/07/2022,17/08/2023,
175,00673.HK,31/07/2017,01/11/2018,25/10/2019,29/10/2020,30/07/2021,31/07/2022,31/07/2023
176,00486.HK,27/07/2018,29/07/2019,30/06/2020,22/07/2021,31/05/2022,28/04/2023,
177,00866.HK,27/07/2018,26/07/2019,27/07/2020,19/07/2021,29/04/2022,27/04/2023,
178,01622.HK,12/11/2018,,,,,,
179,00557.HK,31/07/2018,01/08/2019,25/11/2020,07/09/2021,27/05/2022,28/04/2023,
180,00037.HK,28/07/2017,30/07/2018,30/07/2019,30/07/2020,29/07/2021,28/07/2022,28/07/2023
181,00348.HK,26/10/2018,11/10/2019,20/07/2020,12/07/2021,30/05/2022,26/04/2023,
182,00309.HK,30/07/2018,30/07/2019,30/07/2020,30/07/2021,22/07/2022,28/07/2023,
183,02078.HK,31/07/2018,25/07/2019,31/07/2020,14/05/2021,30/05/2022,20/04/2023,
184,00355.HK,31/07/2018,31/07/2019,28/07/2020,29/07/2021,31/05/2022,27/04/2023,
185,00211.HK,27/07/2018,30/07/2019,29/07/2020,28/07/2021,28/07/2022,27/07/2023,
186,00617.HK,31/07/2018,31/07/2019,28/07/2020,29/07/2021,31/05/2022,27/04/2023,
187,00078.HK,31/07/2018,31/07/2019,28/07/2020,29/07/2021,31/05/2022,27/04/2023,
188,00120.HK,31/07/2018,31/07/2019,28/07/2020,29/07/2021,31/05/2022,27/04/2023,
189,01188.HK,03/07/2018,18/06/2019,24/07/2020,05/08/2021,27/05/2022,26/04/2023,
190,01591.HK,28/07/2017,27/07/2018,30/07/2019,30/07/2020,29/07/2021,28/07/2022,27/07/2023
191,01037.HK,26/04/2018,29/04/2019,28/04/2020,27/04/2021,28/04/2022,27/04/2023,
192,00508.HK,28/07/2017,30/07/2018,30/07/2019,30/07/2020,21/07/2021,28/07/2022,28/07/2023
193,00727.HK,26/07/2018,29/07/2019,07/07/2020,30/07/2021,29/08/2022,,
194,01468.HK,28/07/2017,29/06/2018,18/07/2019,16/07/2020,27/07/2021,28/07/2022,27/07/2023
195,00164.HK,30/07/2018,,31/10/2019,30/10/2020,27/10/2021,31/08/2022,28/07/2023
196,08321.HK,28/07/2017,,13/11/2019,30/10/2020,22/10/2021,29/09/2022,01/08/2023
197,00499.HK,28/07/2017,27/07/2018,28/04/2020,29/04/2021,28/04/2022,28/04/2023,
