file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
0106.HK,17,13,81,32,8,13,11,7,1,0,0,0,1,12,12,7,23,25,8,76,34,20,00106.pdf,66
0968.HK,16,14,79,27,9,29,29,2,1,0,0,0,1,23,15,2,13,14,9,73,38,26,00968.pdf,66
2669.HK,26,23,75,31,14,16,17,7,11,0,0,4,11,13,16,7,41,35,14,70,53,38,02669.pdf,66
1586.HK,3,6,78,8,3,5,7,1,1,0,0,0,1,3,7,1,10,3,3,58,28,38,01586.pdf,66
0868.HK,10,10,79,19,4,4,8,0,3,0,0,0,3,8,8,0,11,11,4,71,34,26,00868.pdf,66
1623.HK,7,12,73,12,6,4,10,1,1,0,0,0,1,13,18,1,14,11,6,54,37,48,01623.pdf,66
2727.HK,33,18,89,27,4,9,9,2,4,0,0,4,4,13,17,2,20,21,4,83,73,33,02727.pdf,66
2683.HK,3,5,79,4,4,3,5,0,1,0,0,0,1,4,4,0,3,3,4,44,42,62,02683.pdf,66
1571.HK,8,13,71,12,7,5,11,3,0,0,0,0,0,8,14,3,18,11,7,48,41,57,01571.pdf,66
1184.HK,2,2,82,3,2,1,3,1,3,0,0,0,3,1,2,1,5,3,2,64,43,40,01184.pdf,66
6158.HK,8,9,78,14,7,7,8,2,16,0,0,0,16,8,6,2,11,13,7,67,35,31,06158.pdf,66
1282.HK,5,7,78,8,3,4,5,1,0,0,0,0,0,6,8,1,9,6,3,60,44,45,01282.pdf,66
1558.HK,20,24,67,25,7,3,12,5,9,0,0,0,9,14,17,5,16,19,7,59,51,49,01558.pdf,66
0631.HK,7,9,77,10,2,1,10,5,0,0,0,0,0,8,6,5,18,8,2,60,43,44,00631.pdf,66
3990.HK,17,18,73,29,11,6,10,1,9,0,0,0,9,10,8,1,20,33,11,67,37,32,03990.pdf,66
1068.HK,10,17,69,16,5,3,9,1,1,0,0,4,1,8,14,1,18,14,5,51,42,54,01068.pdf,66
1993.HK,3,6,77,6,3,2,5,0,4,0,0,0,4,4,7,0,7,4,3,50,36,52,01993.pdf,66
0405.HK,20,23,69,28,9,7,10,6,11,0,0,0,11,11,33,6,33,27,9,63,45,42,00405.pdf,66
3662.HK,8,10,77,13,5,6,7,0,1,0,0,0,1,12,9,0,16,12,5,62,38,38,03662.pdf,66
3828.HK,5,6,80,9,4,2,4,2,1,0,0,4,1,12,6,2,7,7,4,66,35,33,03828.pdf,66
0288.HK,18,19,73,21,12,18,20,9,0,33,33,0,0,7,22,9,19,20,12,63,53,45,00288.pdf,66
0905.HK,4,7,78,6,4,2,6,2,1,0,0,0,1,5,6,2,8,6,4,53,45,54,00905.pdf,66
1205.HK,13,20,67,24,7,4,10,2,3,0,0,4,3,21,27,2,29,21,7,58,35,42,01205.pdf,66
3319.HK,19,18,76,22,8,5,7,2,1,0,0,0,1,9,15,2,29,25,8,67,54,41,03319.pdf,66
1551.HK,48,50,56,55,20,16,19,5,48,0,0,0,48,9,20,5,53,57,20,64,54,46,01551.pdf,66
0753.HK,29,21,81,36,23,7,10,9,9,0,0,0,9,6,14,9,29,28,23,76,50,29,00753.pdf,66
1107.HK,16,15,76,22,5,13,8,2,3,0,0,4,3,17,10,2,19,22,5,69,45,35,01107.pdf,66
8326.HK,6,11,74,9,7,8,9,1,0,0,0,0,0,10,9,1,14,9,7,49,41,56,08326.pdf,66
0341.HK,24,21,77,34,7,4,17,4,4,0,0,0,4,12,11,4,24,28,7,72,45,31,00341.pdf,66
0423.HK,3,3,82,4,2,1,4,0,3,0,0,0,3,2,2,0,4,3,2,69,52,38,00423.pdf,66
0312.HK,8,13,72,15,5,11,11,4,0,0,0,0,0,6,13,4,14,10,5,55,33,44,00312.pdf,66
0520.HK,22,20,75,23,7,3,11,3,24,0,0,9,24,13,16,3,30,19,7,68,58,43,00520.pdf,66
1588.HK,19,16,77,19,7,7,8,2,14,0,0,0,14,19,10,2,32,19,7,69,60,43,01588.pdf,66
1146.HK,5,5,80,5,4,4,8,2,3,0,0,4,3,3,5,2,6,4,4,60,57,51,01146.pdf,66
0137.HK,2,2,82,2,1,0,3,0,0,0,0,4,0,0,3,0,1,1,1,65,51,43,00137.pdf,66
1451.HK,4,8,75,7,6,7,9,1,1,0,0,0,1,7,9,1,10,6,6,42,37,62,01451.pdf,66
0268.HK,27,22,77,46,4,13,8,3,11,0,0,14,11,12,5,3,43,37,4,74,36,24,00268.pdf,66
8096.HK,4,6,79,6,2,1,4,0,3,0,0,0,3,3,6,0,6,4,2,55,40,48,08096.pdf,66
