file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
2236.HK,17,17,76,21,6,10,10,6,1,0,0,0,1,12,14,6,27,24,6,68,50,39,02236.pdf,44
2166.HK,1,2,82,4,0,1,1,0,6,0,0,0,6,3,2,0,4,2,0,66,26,28,02166.pdf,44
0438.HK,3,3,81,3,1,0,2,0,0,0,0,0,0,1,3,0,6,3,1,61,54,48,00438.pdf,44
0690.HK,4,7,76,6,3,0,5,1,1,0,0,0,1,6,7,1,9,7,3,45,39,59,00690.pdf,44
0405.HK,19,22,70,24,11,9,13,5,32,66,66,0,32,17,17,5,17,24,11,61,49,46,00405.pdf,44
0152.HK,3,5,79,6,1,0,3,1,0,0,0,0,0,4,5,1,7,5,1,54,39,49,00152.pdf,44
0293.HK,54,32,89,47,21,19,41,24,33,0,0,0,33,19,18,24,32,42,21,81,71,34,00293.pdf,44
1608.HK,5,9,75,9,5,1,4,1,4,0,0,0,4,4,7,1,10,11,5,53,32,46,01608.pdf,44
0950.HK,1,2,81,2,1,0,1,1,3,0,0,0,3,1,2,1,2,1,1,41,38,64,00950.pdf,44
3828.HK,4,5,81,8,5,2,5,2,3,0,0,0,3,13,7,2,8,7,5,67,35,31,03828.pdf,44
6816.HK,0,1,82,1,1,0,1,0,1,0,0,0,1,2,2,0,3,1,1,55,25,40,06816.pdf,44
0467.HK,1,2,82,2,0,0,1,0,0,0,0,0,0,1,2,0,3,3,0,63,41,40,00467.pdf,44
0171.HK,5,11,73,16,4,4,5,1,1,0,0,0,1,16,9,1,12,13,4,59,22,34,00171.pdf,44
0694.HK,24,17,83,23,6,9,11,5,1,0,0,0,1,9,25,5,24,22,6,77,65,36,00694.pdf,44
0019.HK,1,4,79,4,2,3,2,0,0,0,0,0,0,1,4,0,3,4,2,47,19,46,00019.pdf,44
0732.HK,1,2,82,2,1,0,1,2,0,0,0,0,0,0,2,2,2,2,1,66,42,37,00732.pdf,44
2128.HK,22,16,81,29,8,3,9,8,12,0,0,14,12,6,17,8,24,21,8,76,47,28,02128.pdf,44
0611.HK,3,5,79,6,4,3,5,1,0,33,33,0,0,6,7,1,7,5,4,57,39,46,00611.pdf,44
0363.HK,5,5,81,7,4,3,5,2,1,0,0,0,1,7,6,2,9,8,4,69,44,34,00363.pdf,44
0137.HK,2,2,82,2,2,0,3,0,0,0,0,4,0,0,3,0,1,2,2,65,54,44,00137.pdf,44
1476.HK,9,8,80,11,3,1,2,1,3,0,0,23,3,11,3,1,18,11,3,69,50,37,01476.pdf,44
0242.HK,16,14,78,27,6,4,10,9,17,0,0,0,17,13,9,9,20,26,6,72,38,27,00242.pdf,44
0423.HK,2,2,83,3,1,1,2,0,3,0,0,0,3,2,1,0,3,2,1,75,55,33,00423.pdf,44
1585.HK,8,8,80,10,2,7,4,1,11,0,0,0,11,5,6,1,10,10,2,69,50,38,01585.pdf,44
3678.HK,16,13,81,23,8,0,1,3,0,0,0,9,0,7,3,3,28,17,8,74,43,27,03678.pdf,44
8195.HK,2,3,81,3,1,0,2,0,3,0,0,0,3,2,1,0,3,3,1,57,42,48,08195.pdf,44
1240.HK,4,5,79,6,3,1,3,2,0,0,0,4,0,3,6,2,7,6,3,58,42,46,01240.pdf,44
