file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
3969.HK,38,20,92,41,8,7,12,2,1,0,0,4,1,11,20,2,25,21,8,84,58,24,03969.pdf,100
2208.HK,63,31,100,41,23,70,40,21,8,0,0,4,8,23,18,21,38,38,23,90,96,38,02208.pdf,100
1071.HK,28,23,77,27,12,17,24,5,3,0,0,4,3,13,30,5,22,21,12,71,63,42,01071.pdf,100
0914.HK,41,33,75,41,21,31,40,4,6,0,0,9,6,28,34,4,40,33,21,72,62,40,00914.pdf,100
6818.HK,38,30,76,44,19,21,27,5,8,0,0,0,8,16,12,5,29,38,19,73,53,34,06818.pdf,100
1112.HK,30,38,57,48,12,11,36,37,14,0,0,4,14,18,12,37,26,43,12,62,39,40,01112.pdf,100
3328.HK,38,44,56,47,18,14,25,5,12,0,0,4,12,14,17,5,51,40,18,61,49,46,03328.pdf,100
1329.HK,28,33,62,39,15,24,20,3,1,33,33,0,1,18,33,3,52,32,15,62,44,42,01329.pdf,100
6178.HK,17,15,77,22,4,3,6,4,1,0,0,0,1,9,4,4,21,19,4,70,47,35,06178.pdf,100
0998.HK,37,43,56,47,15,13,14,8,24,0,0,28,24,17,12,8,41,38,15,61,48,45,00998.pdf,100
2383.HK,12,21,65,16,7,6,11,11,14,0,0,0,14,10,10,11,22,17,7,45,48,64,02383.pdf,100
0737.HK,12,18,70,17,9,9,12,5,3,0,0,0,3,10,15,5,21,15,9,55,43,50,00737.pdf,100
2628.HK,28,24,75,30,11,13,10,2,6,0,0,4,6,14,12,2,35,25,11,70,57,40,02628.pdf,100
0338.HK,26,18,83,26,13,14,24,8,0,0,0,33,0,11,27,8,21,20,13,77,64,35,00338.pdf,100
0323.HK,34,31,71,38,14,17,26,4,6,0,0,0,6,16,26,4,38,32,14,68,54,40,00323.pdf,100
2600.HK,36,35,67,40,18,24,35,7,3,0,0,9,3,19,35,7,38,30,18,66,56,44,02600.pdf,100
6865.HK,19,22,69,23,11,19,20,3,11,0,0,0,11,17,23,3,27,22,11,59,50,49,06865.pdf,100
0874.HK,30,24,78,28,14,8,15,2,3,0,0,4,3,14,22,2,20,31,14,72,65,41,00874.pdf,100
3993.HK,25,39,50,39,28,20,28,9,4,0,0,0,4,23,33,9,43,40,28,53,40,51,03993.pdf,100
3968.HK,68,74,42,85,28,35,32,14,67,0,0,14,67,40,21,14,97,75,28,64,50,43,03968.pdf,100
1816.HK,50,42,70,53,21,17,25,7,6,0,0,0,6,29,54,7,49,52,21,71,58,39,01816.pdf,100
2318.HK,37,33,71,39,17,16,21,9,14,33,33,9,14,22,15,9,27,39,17,69,58,42,02318.pdf,100
2778.HK,17,22,68,20,11,14,19,15,3,0,0,0,3,7,8,15,14,23,11,55,52,55,02778.pdf,100
0388.HK,23,19,78,24,6,7,14,12,35,0,0,4,35,19,5,12,18,26,6,72,61,40,00388.pdf,100
2343.HK,39,39,64,41,13,21,43,14,6,0,0,4,6,12,23,14,31,37,13,64,59,47,02343.pdf,100
1299.HK,62,59,57,66,17,26,31,11,3,0,0,4,3,16,15,11,41,59,17,66,58,45,01299.pdf,100
0763.HK,42,41,64,50,20,11,21,10,6,0,0,14,6,18,19,10,44,39,20,67,52,41,00763.pdf,100
8450.HK,7,14,70,11,8,3,9,5,1,0,0,0,1,5,7,5,11,10,8,43,40,62,08450.pdf,100
1730.HK,13,20,66,21,7,9,11,6,0,0,0,0,0,4,17,6,27,18,7,54,40,49,01730.pdf,100
8007.HK,12,16,72,25,8,5,15,6,0,0,0,0,0,8,13,6,17,13,8,64,29,31,08007.pdf,100
8451.HK,3,7,75,9,4,5,6,1,3,0,0,0,3,3,8,1,7,6,4,52,23,43,08451.pdf,100
2324.HK,3,7,77,8,3,5,7,2,0,0,0,0,0,5,4,2,9,4,3,55,28,42,02324.pdf,100
1593.HK,7,12,73,10,2,2,5,1,0,0,0,4,0,12,8,1,16,14,2,49,43,57,01593.pdf,100
6169.HK,6,12,72,12,5,3,6,2,3,0,0,0,3,7,10,2,14,20,5,50,29,48,06169.pdf,100
1565.HK,18,18,75,27,9,6,12,2,9,0,0,0,9,18,17,2,22,51,9,68,42,34,01565.pdf,100
0382.HK,8,14,70,14,7,7,12,1,1,0,0,0,1,9,13,1,19,18,7,51,37,52,00382.pdf,100
6068.HK,4,12,70,11,5,8,8,1,1,0,0,0,1,14,7,1,9,14,5,41,27,57,06068.pdf,100
8383.HK,8,13,72,11,9,5,12,2,1,0,0,0,1,4,12,2,15,8,9,50,42,55,08383.pdf,100
0717.HK,6,10,74,11,4,3,5,1,4,0,0,0,4,3,5,1,13,8,4,55,34,45,00717.pdf,100
1890.HK,10,22,61,18,6,11,11,2,1,0,0,0,1,8,13,2,13,25,6,42,34,60,01890.pdf,100
8366.HK,4,7,78,6,4,3,7,1,1,0,0,0,1,3,8,1,9,5,4,52,43,53,08366.pdf,100
1449.HK,11,17,70,20,5,4,8,1,4,0,0,0,4,16,12,1,23,31,5,59,36,42,01449.pdf,100
2001.HK,16,25,62,25,9,8,15,2,4,0,0,0,4,23,18,2,19,35,9,53,38,50,02001.pdf,100
1773.HK,12,12,77,14,4,2,5,2,6,33,33,9,6,7,10,2,14,20,4,64,54,45,01773.pdf,100
1317.HK,12,18,70,21,8,10,13,3,6,0,0,4,6,9,16,3,20,32,8,59,37,42,01317.pdf,100
0756.HK,3,9,74,8,4,3,7,0,1,0,0,0,1,5,6,0,8,7,4,43,30,56,00756.pdf,100
2175.HK,8,14,70,15,6,8,10,2,1,0,0,0,1,8,13,2,18,21,6,52,33,48,02175.pdf,100
