file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
6128.HK,4,7,77,7,3,3,4,1,0,0,0,0,0,4,6,1,10,6,3,53,33,47,06128.pdf,55
3899.HK,8,11,76,11,8,2,7,1,0,0,0,4,0,6,15,1,13,11,8,59,45,47,03899.pdf,55
1146.HK,3,4,80,3,3,3,6,1,1,0,0,0,1,2,4,1,5,3,3,53,49,56,01146.pdf,55
0657.HK,1,4,79,5,2,2,4,0,3,0,0,0,3,2,3,0,4,4,2,55,14,34,00657.pdf,55
0419.HK,8,10,77,13,4,3,5,1,9,0,0,0,9,13,9,1,17,11,4,64,39,37,00419.pdf,55
3319.HK,14,15,75,16,5,3,6,2,1,0,0,0,1,9,11,2,22,18,5,64,53,45,03319.pdf,55
3866.HK,6,3,85,32,0,0,0,1,4,33,33,0,4,2,0,1,7,3,0,79,11,4,03866.pdf,55
3383.HK,10,10,78,11,7,5,8,4,9,0,0,0,9,9,10,4,10,11,7,63,54,46,03383.pdf,55
1301.HK,6,7,79,8,3,1,6,3,0,0,0,4,0,1,6,3,10,5,3,62,45,43,01301.pdf,55
0019.HK,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,12,00019.pdf,55
0117.HK,6,8,77,8,6,5,11,2,1,33,33,0,1,14,10,2,10,8,6,56,46,50,00117.pdf,55
0423.HK,3,3,82,3,1,0,5,0,1,0,0,0,1,2,2,0,4,3,1,69,52,38,00423.pdf,55
2088.HK,4,5,80,5,0,0,2,0,3,0,0,0,3,4,4,0,11,6,0,60,49,47,02088.pdf,55
1717.HK,16,12,81,19,5,1,8,3,14,0,0,14,14,8,8,3,14,21,5,73,51,32,01717.pdf,55
0611.HK,6,8,77,9,4,5,7,1,0,0,0,0,0,7,7,1,14,9,4,58,42,45,00611.pdf,55
0420.HK,4,12,70,9,4,4,9,0,0,0,0,0,0,5,10,0,8,8,4,36,28,64,00420.pdf,55
0994.HK,2,6,78,7,3,1,5,0,3,0,0,0,3,3,4,0,5,3,3,54,24,41,00994.pdf,55
0393.HK,8,7,80,10,3,3,3,2,3,0,0,0,3,2,5,2,10,10,3,69,47,35,00393.pdf,55
3360.HK,23,19,78,32,9,5,9,4,9,33,33,23,9,17,25,4,34,41,9,73,46,31,03360.pdf,55
1231.HK,6,6,80,7,4,3,6,1,1,33,33,0,1,8,8,1,10,6,4,65,48,41,01231.pdf,55
1058.HK,4,6,78,13,3,3,7,2,1,33,33,0,1,14,8,2,6,8,3,66,22,25,01058.pdf,55
3828.HK,4,5,80,8,4,2,4,2,3,0,0,0,3,11,6,2,7,6,4,65,31,32,03828.pdf,55
1527.HK,5,10,74,10,6,4,7,0,0,0,0,0,0,11,10,0,10,7,6,52,31,47,01527.pdf,55
8425.HK,4,5,81,4,2,1,4,0,1,0,0,0,1,4,4,0,5,3,2,59,61,55,08425.pdf,55
2363.HK,3,6,78,6,3,2,4,0,1,0,0,0,1,5,6,0,5,7,3,50,35,51,02363.pdf,55
0698.HK,3,6,78,6,5,3,6,0,3,0,0,0,3,7,8,0,12,7,5,52,32,48,00698.pdf,55
