file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
0090.HK,8,17,66,21,13,20,22,3,1,0,0,0,1,12,22,3,19,13,13,54,24,41,00090.pdf,88
2127.HK,8,17,66,13,9,2,8,3,0,0,0,4,0,14,15,3,13,11,9,39,38,66,02127.pdf,88
2066.HK,22,16,81,23,7,7,7,6,6,0,0,4,6,8,7,6,24,25,7,75,59,35,02066.pdf,88
3669.HK,8,12,74,11,6,5,6,2,11,0,0,4,11,6,10,2,17,10,6,54,45,52,03669.pdf,88
0396.HK,2,2,82,4,1,1,4,0,1,0,0,0,1,2,3,0,4,3,1,64,37,36,00396.pdf,88
2048.HK,9,11,76,17,4,5,5,0,4,0,0,0,4,11,7,0,24,14,4,65,33,34,02048.pdf,88
0257.HK,19,17,77,48,6,9,21,2,1,0,0,4,1,23,13,2,11,11,6,74,25,18,00257.pdf,88
2599.HK,28,24,75,45,11,8,10,4,17,0,0,4,17,16,20,4,28,33,11,72,39,27,02599.pdf,88
3319.HK,31,25,77,35,14,13,16,5,20,33,33,9,20,18,25,5,43,41,14,73,56,36,03319.pdf,88
1093.HK,25,29,65,30,12,7,16,3,11,0,0,4,11,20,29,3,33,26,12,59,51,49,01093.pdf,88
0291.HK,25,28,66,43,14,19,22,7,11,0,0,9,11,24,29,7,36,29,14,66,35,33,00291.pdf,88
1321.HK,8,9,78,14,5,6,8,2,4,0,0,0,4,11,9,2,16,10,5,66,35,32,01321.pdf,88
0416.HK,26,32,63,32,8,9,11,9,3,33,33,9,3,11,15,9,35,28,8,59,50,49,00416.pdf,88
0034.HK,5,7,78,11,6,5,10,4,6,0,0,0,6,3,6,4,14,9,6,62,31,35,00034.pdf,88
1711.HK,5,9,76,17,3,2,3,1,3,0,0,0,3,3,4,1,13,10,3,64,20,26,01711.pdf,88
0672.HK,7,12,73,14,6,5,7,1,11,0,0,0,11,14,12,1,20,11,6,57,32,41,00672.pdf,88
0341.HK,24,23,74,33,7,3,16,10,3,0,0,4,3,9,12,10,24,25,7,69,46,34,00341.pdf,88
0157.HK,7,14,69,17,5,3,9,4,0,0,0,0,0,8,12,4,12,12,5,53,27,43,00157.pdf,88
1146.HK,5,5,81,5,3,4,9,2,3,0,0,4,3,3,4,2,7,4,3,62,57,49,01146.pdf,88
0423.HK,3,3,82,4,3,2,5,0,3,0,0,0,3,2,2,0,6,4,3,67,47,38,00423.pdf,88
6186.HK,22,21,74,25,7,5,14,3,6,0,0,0,6,14,16,3,23,26,7,67,55,42,06186.pdf,88
6969.HK,16,19,71,20,8,4,10,5,1,0,0,14,1,13,15,5,17,14,8,59,50,48,06969.pdf,88
1292.HK,22,19,77,24,13,10,15,3,0,0,0,14,0,9,28,3,29,23,13,70,55,39,01292.pdf,88
3678.HK,25,22,76,35,10,5,6,3,1,0,0,4,1,9,9,3,35,24,10,72,44,31,03678.pdf,88
3818.HK,7,9,77,10,5,4,7,1,3,0,0,0,3,4,7,1,12,10,5,59,43,45,03818.pdf,88
0609.HK,9,10,77,15,6,3,14,1,4,0,0,0,4,8,17,1,12,8,6,66,40,35,00609.pdf,88
8232.HK,2,4,80,4,4,1,3,0,3,0,0,0,3,3,5,0,5,3,4,48,38,55,08232.pdf,88
1446.HK,10,17,68,18,10,6,18,7,6,0,0,4,6,9,12,7,22,16,10,54,34,46,01446.pdf,88
8510.HK,3,6,78,5,1,1,4,0,0,0,0,0,0,4,3,0,9,3,1,46,38,57,08510.pdf,88
0152.HK,9,18,66,16,11,14,13,4,0,0,0,0,0,13,15,4,15,13,11,48,34,54,00152.pdf,88
8328.HK,5,10,73,13,5,8,8,0,3,0,0,0,3,7,8,0,16,9,5,55,23,39,08328.pdf,88
1262.HK,13,13,77,17,6,4,8,2,9,0,0,0,9,6,12,2,19,16,6,66,47,39,01262.pdf,88
1753.HK,11,16,71,16,5,5,8,6,1,0,0,9,1,9,8,6,20,13,5,55,46,51,01753.pdf,88
9908.HK,17,15,78,18,7,10,10,4,1,0,0,4,1,10,22,4,22,15,7,70,58,40,09908.pdf,88
2101.HK,9,14,71,13,7,9,11,2,3,0,0,9,3,12,10,2,20,12,7,50,43,56,02101.pdf,88
1257.HK,21,41,44,50,29,17,54,23,0,0,0,9,0,42,47,23,36,33,29,55,25,41,01257.pdf,88
1987.HK,3,12,69,9,11,4,9,1,0,0,0,0,0,6,16,1,11,9,11,32,23,66,01987.pdf,88
1608.HK,13,21,65,19,11,12,25,4,0,0,0,4,0,8,14,4,14,14,11,49,42,56,01608.pdf,88
8646.HK,6,11,73,9,4,3,10,3,3,0,0,0,3,10,8,3,14,8,4,44,40,61,08646.pdf,88
8291.HK,2,4,79,4,2,1,4,1,1,0,0,0,1,3,6,1,4,3,2,46,34,56,08291.pdf,88
0420.HK,9,18,65,16,7,6,16,0,1,0,0,0,1,11,16,0,13,12,7,43,34,59,00420.pdf,88
2115.HK,3,6,78,4,4,4,3,0,0,0,0,0,0,3,6,0,5,4,4,44,43,62,02115.pdf,88
1747.HK,7,15,68,15,7,3,8,4,6,0,0,4,6,6,11,4,17,11,7,48,30,51,01747.pdf,88
8203.HK,3,5,79,5,3,2,3,0,1,0,0,0,1,5,6,0,7,5,3,50,42,54,08203.pdf,88
2738.HK,11,14,73,14,12,9,14,3,4,0,0,0,4,10,21,3,19,14,12,58,46,48,02738.pdf,88
1301.HK,22,27,65,25,17,7,31,9,0,0,0,4,0,15,27,9,32,24,17,56,54,54,01301.pdf,88
0868.HK,18,25,64,37,9,12,16,0,3,0,0,0,3,18,26,0,33,23,9,63,30,33,00868.pdf,88
