file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
0257.HK,39,45,55,76,28,13,65,14,14,0,0,0,14,38,50,14,42,50,28,67,32,30,00257.pdf,77
1895.HK,7,12,72,15,7,5,10,1,0,0,0,0,0,10,12,1,23,17,7,56,28,40,01895.pdf,77
1753.HK,7,14,70,12,4,3,5,4,1,0,0,9,1,8,7,4,16,12,4,46,37,57,01753.pdf,77
8006.HK,5,7,78,5,3,2,5,1,1,0,0,0,1,4,5,1,8,4,3,52,59,62,08006.pdf,77
6186.HK,18,17,76,23,8,3,13,1,11,0,0,0,11,17,17,1,21,24,8,69,48,36,06186.pdf,77
0423.HK,3,3,82,4,2,2,5,0,3,0,0,0,3,2,2,0,5,3,2,68,48,37,00423.pdf,77
2698.HK,23,16,82,22,9,3,15,5,1,0,0,0,1,13,22,5,25,18,9,76,66,37,02698.pdf,77
2003.HK,5,5,81,8,2,5,6,1,11,0,0,0,11,3,3,1,9,5,2,70,41,31,02003.pdf,77
1820.HK,7,14,70,12,9,4,15,2,0,0,0,0,0,5,11,2,12,9,9,46,36,56,01820.pdf,77
1381.HK,18,27,62,27,16,12,21,5,3,0,0,4,3,22,27,5,21,23,16,54,42,50,01381.pdf,77
3360.HK,28,28,69,42,13,16,17,4,11,0,0,4,11,20,29,4,40,50,13,68,42,34,03360.pdf,77
0657.HK,1,4,79,6,3,2,4,0,3,0,0,0,3,2,3,0,4,4,3,57,14,32,00657.pdf,77
0274.HK,3,6,78,6,3,6,6,0,0,0,0,0,0,4,9,0,8,5,3,50,33,50,00274.pdf,77
6888.HK,2,3,80,4,3,2,4,1,1,0,0,0,1,3,5,1,6,4,3,59,31,38,06888.pdf,77
0094.HK,4,6,79,7,3,2,4,2,3,33,33,0,3,6,4,2,10,5,3,59,37,42,00094.pdf,77
1777.HK,8,13,72,13,7,5,7,3,1,0,0,14,1,11,10,3,14,14,7,53,38,49,01777.pdf,77
1216.HK,11,14,73,16,5,2,8,2,1,0,0,4,1,5,8,2,15,13,5,60,43,44,01216.pdf,77
1778.HK,8,13,72,12,6,4,7,1,1,0,0,0,1,10,8,1,17,12,6,52,42,53,01778.pdf,77
6816.HK,2,6,76,6,3,2,4,0,1,0,0,0,1,5,8,0,11,5,3,43,24,53,06816.pdf,77
6111.HK,21,18,77,26,6,7,9,2,19,33,33,4,19,15,16,2,26,22,6,71,51,36,06111.pdf,77
1875.HK,18,20,72,22,8,7,10,2,16,0,0,9,16,15,14,2,22,22,8,64,51,44,01875.pdf,77
6116.HK,13,14,76,16,6,2,6,2,8,0,0,4,8,5,8,2,16,14,6,64,50,43,06116.pdf,77
0767.HK,5,8,76,6,3,1,5,0,3,0,0,0,3,6,5,0,13,6,3,48,44,59,00767.pdf,77
2380.HK,24,17,82,23,8,21,16,2,4,0,0,4,4,11,22,2,20,18,8,76,66,38,02380.pdf,77
8139.HK,5,7,77,7,2,0,6,1,4,0,0,0,4,8,7,1,10,5,2,54,43,51,08139.pdf,77
0802.HK,5,6,79,5,3,1,3,1,0,0,0,0,0,8,5,1,9,4,3,53,58,60,00802.pdf,77
1133.HK,10,8,82,11,4,2,8,2,1,0,0,0,1,7,12,2,13,8,4,74,59,36,01133.pdf,77
0486.HK,35,44,53,59,37,24,39,20,40,0,0,14,40,35,38,20,48,53,37,63,36,37,00486.pdf,77
0154.HK,4,5,80,5,3,1,5,0,0,0,0,4,0,4,8,0,6,5,3,58,52,50,00154.pdf,77
8607.HK,3,4,80,5,1,0,3,0,1,0,0,0,1,11,5,0,6,4,1,58,36,43,08607.pdf,77
1842.HK,3,7,76,6,2,0,4,0,0,0,0,0,0,6,4,0,7,6,2,44,32,57,01842.pdf,77
1708.HK,5,5,81,6,2,3,4,0,0,0,0,4,0,5,5,0,8,5,2,66,48,39,01708.pdf,77
8377.HK,3,7,76,8,4,4,5,0,8,0,0,0,8,2,5,0,11,6,4,54,25,42,08377.pdf,77
8646.HK,5,10,74,8,4,4,9,3,4,0,0,0,4,10,8,3,12,8,4,44,41,62,08646.pdf,77
0256.HK,5,5,81,8,3,1,4,0,6,0,0,0,6,9,5,0,11,8,3,69,40,32,00256.pdf,77
8283.HK,1,2,81,3,2,0,1,0,0,0,0,0,0,2,4,0,4,2,2,53,31,46,08283.pdf,77
8187.HK,8,11,75,10,7,3,7,2,0,0,0,0,0,10,11,2,13,11,7,52,48,56,08187.pdf,77
8128.HK,6,7,79,9,4,12,7,0,1,0,0,0,1,7,9,0,14,7,4,62,43,42,08128.pdf,77
0420.HK,8,17,67,15,7,6,17,0,3,0,0,0,3,11,15,0,13,13,7,45,36,58,00420.pdf,77
0123.HK,24,22,75,37,16,17,17,5,6,0,0,0,6,12,18,5,33,32,16,71,40,30,00123.pdf,77
8292.HK,5,6,79,7,5,3,5,0,3,0,0,0,3,2,7,0,9,7,5,61,48,46,08292.pdf,77
8036.HK,5,11,73,8,3,2,6,1,0,0,0,0,0,6,5,1,12,9,3,43,41,62,08036.pdf,77
8238.HK,2,3,82,3,1,2,2,0,0,0,0,0,0,4,2,0,5,2,1,63,47,43,08238.pdf,77
0152.HK,7,15,69,14,10,11,14,2,1,0,0,0,1,12,18,2,16,13,10,48,32,52,00152.pdf,77
2727.HK,45,30,83,50,16,23,28,4,16,0,0,9,16,26,35,4,38,40,16,78,55,30,02727.pdf,77
0393.HK,6,7,79,9,2,2,3,2,1,0,0,0,1,3,5,2,10,9,2,64,45,41,00393.pdf,77
8073.HK,7,11,73,14,5,1,8,1,3,0,0,0,3,10,10,1,15,8,5,56,31,42,08073.pdf,77
0137.HK,2,2,82,2,1,0,3,0,0,0,0,4,0,0,3,0,1,2,1,66,50,40,00137.pdf,77
2358.HK,7,9,77,9,3,7,5,1,1,0,0,0,1,8,6,1,13,11,3,58,49,50,02358.pdf,77
0643.HK,2,5,79,6,3,2,5,1,1,0,0,0,1,2,5,1,6,4,3,56,25,39,00643.pdf,77
0691.HK,11,15,72,16,8,7,15,1,6,0,0,0,6,11,16,1,11,12,8,57,43,47,00691.pdf,77
3303.HK,6,13,69,12,8,7,14,3,0,33,33,0,0,10,18,3,23,13,8,44,29,55,03303.pdf,77
0683.HK,35,44,53,68,28,22,47,33,20,0,0,0,20,40,32,33,58,64,28,65,32,33,00683.pdf,77
8066.HK,6,15,67,12,12,12,16,6,0,33,33,0,0,11,17,6,15,13,12,38,32,64,08066.pdf,77
8203.HK,4,6,79,6,3,2,3,1,1,0,0,0,1,5,6,1,7,5,3,54,40,50,08203.pdf,77
3383.HK,17,19,72,25,10,8,12,3,19,0,0,0,19,10,21,3,15,23,10,65,43,38,03383.pdf,77
0893.HK,9,13,73,19,4,6,10,2,0,0,0,0,0,5,7,2,12,12,4,62,28,33,00893.pdf,77
8191.HK,3,4,81,4,1,1,4,0,1,33,33,0,1,5,3,0,9,4,1,65,49,42,08191.pdf,77
0627.HK,5,7,78,10,4,1,5,1,0,0,0,0,0,7,8,1,12,8,4,63,33,36,00627.pdf,77
1571.HK,9,14,72,12,8,5,12,3,0,0,0,0,0,8,15,3,17,12,8,51,43,55,01571.pdf,77
1551.HK,30,29,69,33,12,7,9,4,35,0,0,0,35,9,13,4,31,33,12,65,55,45,01551.pdf,77
8232.HK,2,4,80,3,3,1,2,0,4,0,0,0,4,2,5,0,5,3,3,47,37,55,08232.pdf,77
1812.HK,9,18,66,17,8,9,15,1,0,0,0,4,0,17,13,1,18,15,8,49,32,51,01812.pdf,77
8328.HK,3,5,80,7,2,3,4,0,3,0,0,0,3,5,5,0,10,4,2,63,30,33,08328.pdf,77
2099.HK,29,24,76,33,20,10,21,13,3,66,66,4,3,18,37,13,34,27,20,72,55,36,02099.pdf,77
8042.HK,3,4,80,4,0,0,1,1,1,0,0,0,1,5,2,1,10,4,0,52,41,52,08042.pdf,77
1949.HK,4,5,80,5,3,4,4,2,3,0,0,0,3,6,5,2,9,5,3,60,54,50,01949.pdf,77
1194.HK,5,7,78,11,5,1,8,3,0,0,0,0,0,6,8,3,10,8,5,64,31,33,01194.pdf,77
0687.HK,5,11,73,11,6,2,12,2,4,0,0,0,4,3,10,2,8,10,6,50,30,49,00687.pdf,77
1891.HK,3,7,76,5,4,4,6,1,1,0,0,0,1,3,6,1,5,5,4,40,40,65,01891.pdf,77
3323.HK,18,19,73,22,12,11,17,2,8,0,0,0,8,16,18,2,24,17,12,63,51,44,03323.pdf,77
8416.HK,5,5,80,7,3,7,5,2,8,0,0,0,8,5,4,2,13,7,3,65,48,41,08416.pdf,77
1120.HK,5,10,73,9,9,4,9,2,3,0,0,0,3,5,14,2,11,9,9,43,35,59,01120.pdf,77
6136.HK,18,15,78,18,7,7,12,2,9,0,0,0,9,33,19,2,19,21,7,70,61,42,06136.pdf,77
0743.HK,36,31,73,48,13,21,31,8,8,33,33,4,8,45,28,8,35,36,13,71,46,32,00743.pdf,77
8178.HK,5,9,75,9,4,10,10,1,0,0,0,4,0,10,6,1,19,11,4,50,33,50,08178.pdf,77
