file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
2022_00605.pdf,8,16,67,13,6,5,8,3,0,0,0,0,0,11,10,3,18,10,6,42,39,63,00605.pdf,100
2022_00311.pdf,18,19,72,20,10,6,16,13,14,0,0,4,14,13,14,13,18,15,10,61,55,49,00311.pdf,100
2022_00019.pdf,38,49,49,57,28,24,60,19,4,0,0,4,4,21,24,19,34,52,28,60,41,43,00019.pdf,100
2022_00893.pdf,8,13,72,20,6,7,12,4,3,0,0,0,3,4,10,4,17,14,6,61,25,34,00893.pdf,100
2022_00004.pdf,19,32,56,34,15,13,30,17,4,0,0,0,4,10,19,17,30,37,15,54,35,47,00004.pdf,100
2022_01818.pdf,12,13,76,15,6,4,9,3,4,0,0,9,4,6,15,3,12,15,6,64,49,43,01818.pdf,100
2022_08148.pdf,4,7,77,8,3,2,4,1,0,0,0,0,0,6,4,1,11,6,3,54,31,44,08148.pdf,100
2022_03808.pdf,23,25,69,29,13,15,22,6,3,0,0,4,3,14,29,6,29,26,13,64,50,44,03808.pdf,100
2022_08247.pdf,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,08247.pdf,100
2022_00380.pdf,11,18,68,19,8,6,11,5,4,0,0,4,4,12,15,5,19,15,8,54,36,47,00380.pdf,100
2022_01051.pdf,4,6,79,5,4,3,5,1,3,0,0,0,3,2,4,1,8,5,4,51,46,57,01051.pdf,100
2022_02099.pdf,25,23,74,31,19,13,23,11,6,33,33,0,6,19,36,11,31,26,19,69,50,37,02099.pdf,100
2022_02768.pdf,9,16,69,15,10,12,11,6,0,0,0,9,0,13,13,6,22,14,10,51,37,51,02768.pdf,100
2022_09939.pdf,7,14,70,16,9,6,11,2,3,33,33,9,3,4,15,2,15,10,9,53,30,45,09939.pdf,100
2022_00607.pdf,15,17,72,22,11,15,17,6,4,0,0,0,4,12,16,6,20,21,11,63,42,40,00607.pdf,100
2022_08495.pdf,7,12,72,11,8,5,9,3,3,0,0,0,3,5,8,3,14,10,8,49,40,55,08495.pdf,100
2022_01513.pdf,63,100,0,100,35,28,48,3,19,0,0,0,19,45,70,3,82,77,35,53,39,50,01513.pdf,100
2022_00048.pdf,3,8,74,8,3,3,6,1,3,0,0,0,3,3,6,1,13,6,3,47,24,49,00048.pdf,100
2022_00798.pdf,56,36,85,62,20,26,31,24,4,0,0,14,4,23,24,24,52,53,20,79,56,29,00798.pdf,100
2022_01321.pdf,9,13,74,17,8,8,10,1,3,0,0,0,3,12,13,1,18,11,8,61,36,39,01321.pdf,100
2022_00672.pdf,7,15,69,16,7,7,9,1,3,0,0,0,3,12,12,1,18,11,7,52,27,45,00672.pdf,100
2022_08418.pdf,7,15,68,12,6,3,8,2,3,0,0,0,3,10,9,2,13,9,6,42,34,60,08418.pdf,100
2022_00468.pdf,26,18,83,22,12,13,24,11,4,0,0,4,4,11,14,11,20,20,12,77,73,40,00468.pdf,100
2022_01451.pdf,6,12,72,10,8,9,12,0,3,0,0,0,3,8,13,0,13,10,8,45,38,59,01451.pdf,100
2022_01387.pdf,6,7,79,9,3,2,4,2,3,0,0,0,3,5,6,2,10,7,3,65,39,36,01387.pdf,100
2022_03395.pdf,7,16,67,11,6,7,11,0,0,0,0,4,0,10,12,0,17,9,6,35,38,70,03395.pdf,100
2022_08373.pdf,5,10,74,10,6,5,8,1,0,0,0,4,0,11,12,1,13,6,6,49,33,51,08373.pdf,100
2022_01571.pdf,11,21,64,20,13,15,19,4,0,0,0,0,0,9,19,4,25,15,13,49,35,53,01571.pdf,100
2022_01102.pdf,4,8,75,10,2,0,4,0,0,0,0,0,0,8,5,0,13,6,2,52,25,44,01102.pdf,100
2022_00829.pdf,14,25,60,21,11,13,16,3,6,0,0,0,6,18,24,3,28,20,11,45,40,60,00829.pdf,100
2022_06117.pdf,16,18,73,25,8,6,10,2,0,0,0,0,0,13,23,2,27,18,8,65,40,36,06117.pdf,100
2022_01738.pdf,3,7,77,6,3,2,5,1,1,0,0,0,1,6,8,1,10,5,3,46,32,55,01738.pdf,100
2022_03839.pdf,6,14,69,15,8,9,10,0,1,0,0,0,1,7,10,0,10,8,8,50,25,46,03839.pdf,100
2022_01665.pdf,7,11,74,12,6,4,5,1,1,0,0,4,1,8,8,1,14,12,6,54,38,49,01665.pdf,100
2022_00181.pdf,5,10,74,7,7,6,9,3,1,0,0,0,1,7,8,3,9,8,7,42,43,65,00181.pdf,100
2022_09990.pdf,11,19,67,18,9,6,12,7,6,0,0,0,6,15,13,7,21,16,9,50,38,53,09990.pdf,100
2022_00551.pdf,34,42,54,49,28,39,34,10,8,0,0,0,8,43,49,10,61,50,28,61,43,43,00551.pdf,100
2022_06628.pdf,22,23,72,26,9,6,12,2,0,0,0,0,0,21,27,2,28,24,9,65,53,44,06628.pdf,100
2022_01090.pdf,11,15,72,17,10,12,13,3,4,0,0,0,4,14,11,3,20,16,10,59,41,45,01090.pdf,100
2022_00168.pdf,21,15,82,24,9,11,16,6,1,0,0,0,1,9,15,6,18,19,9,76,53,31,00168.pdf,100
2022_00974.pdf,12,17,69,15,12,16,16,4,1,0,0,4,1,11,13,4,14,13,12,50,50,59,00974.pdf,100
2022_00253.pdf,6,9,75,8,5,3,8,2,0,0,0,0,0,6,7,2,12,7,5,49,48,60,00253.pdf,100
2022_02119.pdf,10,13,74,21,9,4,12,5,1,0,0,0,1,4,14,5,17,16,9,64,30,33,02119.pdf,100
2022_00219.pdf,6,9,75,8,5,3,8,2,0,0,0,0,0,6,7,2,12,7,5,49,48,60,00219.pdf,100
2022_00201.pdf,6,9,75,8,5,3,8,2,0,0,0,0,0,6,7,2,12,7,5,49,47,59,00201.pdf,100
2022_06838.pdf,7,17,65,14,10,8,14,2,1,0,0,0,1,12,20,2,15,13,10,40,35,63,06838.pdf,100
2022_01997.pdf,20,33,55,35,11,15,27,16,9,0,0,4,9,14,17,16,29,37,11,54,36,47,01997.pdf,100
2022_00184.pdf,5,8,76,7,6,2,5,2,0,0,0,0,0,4,8,2,9,8,6,51,41,54,00184.pdf,100
2022_00686.pdf,20,24,68,35,17,25,24,4,0,0,0,4,0,24,31,4,28,24,17,65,35,34,00686.pdf,100
2022_00603.pdf,10,25,58,23,7,7,14,2,1,0,0,0,1,7,19,2,17,13,7,46,28,53,00603.pdf,100
2022_02120.pdf,9,16,70,17,8,15,12,3,1,0,0,4,1,10,11,3,21,23,8,54,36,47,02120.pdf,100
2022_01371.pdf,3,6,78,5,4,2,4,1,3,0,0,0,3,3,6,1,8,4,4,44,44,64,01371.pdf,100
2022_00646.pdf,3,7,76,6,6,6,8,1,1,0,0,0,1,5,7,1,8,7,6,46,35,56,00646.pdf,100
2022_00489.pdf,53,34,85,47,19,24,32,4,4,0,0,0,4,26,34,4,40,37,19,79,69,36,00489.pdf,100
2022_02686.pdf,25,24,72,34,14,19,22,4,1,0,0,0,1,12,30,4,29,25,14,68,46,36,02686.pdf,100
2022_01862.pdf,14,20,68,17,6,9,8,2,9,0,0,9,9,12,10,2,21,16,6,52,49,56,01862.pdf,100
2022_02276.pdf,7,16,67,14,5,4,9,3,3,0,0,0,3,12,12,3,19,12,5,45,31,56,02276.pdf,100
2022_06127.pdf,12,15,72,15,8,9,12,3,4,0,0,0,4,16,14,3,17,13,8,56,49,51,06127.pdf,100
2022_01817.pdf,11,14,74,14,6,8,12,3,1,0,0,0,1,7,9,3,19,12,6,59,51,50,01817.pdf,100
2022_00802.pdf,3,5,79,4,2,1,2,0,0,0,0,0,0,3,4,0,12,4,2,47,46,60,00802.pdf,100
2022_02266.pdf,10,17,68,14,10,7,14,3,1,0,0,0,1,13,14,3,22,13,10,47,43,59,02266.pdf,100
2022_06668.pdf,14,19,70,20,7,6,12,2,8,0,0,4,8,14,13,2,27,20,7,58,44,47,06668.pdf,100
2022_01281.pdf,8,14,70,13,7,7,11,3,1,0,0,4,1,3,13,3,13,12,7,49,39,55,01281.pdf,100
2022_01820.pdf,12,16,72,15,11,11,17,7,0,0,0,0,0,6,12,7,13,12,11,56,47,51,01820.pdf,100
2022_00747.pdf,4,9,74,8,5,2,7,0,1,0,0,0,1,10,7,0,11,6,5,47,34,55,00747.pdf,100
2022_06185.pdf,27,37,55,36,15,7,17,3,14,0,0,0,14,24,41,3,34,34,15,55,46,52,06185.pdf,100
2022_09868.pdf,20,27,64,32,15,15,26,4,16,0,0,4,16,19,27,4,41,28,15,60,40,42,09868.pdf,100
2022_06111.pdf,29,25,74,34,13,19,19,9,9,0,0,4,9,14,21,9,33,28,13,70,52,37,06111.pdf,100
2022_01755.pdf,21,24,69,30,10,9,14,2,8,0,0,0,8,18,24,2,39,32,10,64,43,39,01755.pdf,100
2022_03383.pdf,27,31,65,37,18,12,23,6,3,0,0,0,3,17,29,6,25,36,18,64,46,41,03383.pdf,100
2022_01952.pdf,7,10,75,10,5,2,5,3,0,0,0,0,0,7,8,3,14,10,5,52,42,53,01952.pdf,100
2022_00011.pdf,49,45,65,52,22,24,27,12,6,0,0,0,6,33,18,12,60,61,22,68,58,43,00011.pdf,100
2022_02260.pdf,5,14,68,16,7,12,8,2,1,0,0,4,1,10,11,2,18,10,7,50,21,44,02260.pdf,100
2022_00185.pdf,9,15,70,17,9,11,13,3,1,0,0,0,1,9,10,3,16,12,9,55,32,44,00185.pdf,100
2022_00395.pdf,5,9,75,11,6,4,8,2,1,0,0,4,1,11,10,2,12,9,6,57,27,39,00395.pdf,100
2022_09922.pdf,34,41,57,63,11,17,26,6,4,0,0,4,4,34,39,6,53,42,11,65,34,33,09922.pdf,100
2022_01553.pdf,7,11,74,10,8,4,12,1,3,0,0,4,3,13,14,1,11,10,8,53,40,51,01553.pdf,100
2022_01823.pdf,3,9,74,7,5,5,7,0,0,0,0,0,0,6,9,0,11,7,5,40,30,60,01823.pdf,100
2022_01563.pdf,5,12,70,10,7,9,10,1,3,0,0,0,3,10,8,1,17,9,7,42,34,60,01563.pdf,100
2022_01120.pdf,7,12,73,10,8,6,9,1,6,0,0,0,6,7,13,1,13,12,8,50,43,56,01120.pdf,100
2022_01024.pdf,43,38,70,48,13,19,18,5,37,0,0,9,37,25,16,5,50,52,13,69,56,40,01024.pdf,100
2022_00135.pdf,29,32,65,32,15,26,25,5,8,0,0,9,8,13,30,5,33,26,15,61,55,49,00135.pdf,100
2022_08360.pdf,6,10,75,9,7,5,10,2,3,0,0,4,3,8,8,2,14,8,7,51,45,56,08360.pdf,100
2022_01588.pdf,13,16,73,16,8,10,10,3,0,0,0,4,0,14,8,3,27,16,8,60,50,48,01588.pdf,100
2022_01483.pdf,8,14,71,16,9,9,13,4,1,0,0,0,1,8,11,4,11,10,9,55,31,43,01483.pdf,100
2022_01873.pdf,20,25,67,24,19,19,25,6,3,0,0,0,3,18,22,6,28,22,19,58,50,50,01873.pdf,100
2022_00051.pdf,9,19,63,18,8,4,14,10,0,0,0,0,0,6,10,10,13,20,8,45,31,55,00051.pdf,100
2022_00743.pdf,30,37,58,35,20,18,40,16,1,0,0,0,1,20,31,16,33,31,20,57,53,53,00743.pdf,100
2022_00935.pdf,6,10,74,11,5,4,6,1,3,0,0,0,3,4,8,1,9,8,5,54,33,46,00935.pdf,100
2022_00293.pdf,59,49,69,62,23,20,44,12,25,0,0,4,25,20,27,12,60,59,23,71,59,39,00293.pdf,100
2022_01316.pdf,29,30,67,31,14,11,22,15,11,0,0,14,11,12,21,15,29,32,14,63,57,48,01316.pdf,100
2022_02202.pdf,40,40,65,55,23,36,37,6,11,0,0,0,11,28,33,6,46,59,23,68,45,36,02202.pdf,100
2022_00661.pdf,9,9,79,12,7,7,10,0,1,0,0,0,1,4,17,0,11,9,7,67,46,38,00661.pdf,100
2022_01822.pdf,3,8,74,8,4,2,6,2,0,0,0,0,0,7,7,2,8,7,4,47,26,50,01822.pdf,100
2022_08512.pdf,6,8,78,8,6,7,8,3,6,0,0,0,6,7,8,3,11,7,6,59,46,47,08512.pdf,100
