stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
02863.HK,NA,31/12/2018,NA,NA,NA,NA,NA
00016.HK,31/12/2018,NA,NA,NA,NA,NA,NA
00691.HK,31/12/2018,NA,NA,NA,NA,NA,NA
08475.HK,30/12/2018,NA,NA,NA,NA,NA,NA
00053.HK,NA,28/12/2018,NA,NA,NA,NA,NA
06169.HK,NA,28/12/2018,NA,NA,NA,NA,NA
01303.HK,28/12/2018,NA,NA,NA,NA,NA,NA
00717.HK,27/12/2018,NA,NA,NA,NA,NA,NA
00839.HK,NA,27/12/2018,NA,NA,NA,NA,NA
00315.HK,24/12/2018,NA,NA,NA,NA,NA,NA
00017.HK,NA,24/12/2018,NA,NA,NA,NA,NA
08168.HK,NA,24/12/2018,NA,NA,NA,NA,NA
01130.HK,NA,21/12/2018,NA,NA,NA,NA,NA
00204.HK,NA,20/12/2018,NA,NA,NA,NA,NA
03998.HK,NA,20/12/2018,NA,NA,NA,NA,NA
00737.HK,19/12/2018,NA,NA,NA,NA,NA,NA
00825.HK,NA,19/12/2018,NA,NA,NA,NA,NA
01969.HK,NA,19/12/2018,NA,NA,NA,NA,NA
02033.HK,NA,17/12/2018,NA,NA,NA,NA,NA
00659.HK,NA,17/12/2018,NA,NA,NA,NA,NA
01758.HK,NA,17/12/2018,NA,NA,NA,NA,NA
08140.HK,NA,14/12/2018,NA,NA,NA,NA,NA
00862.HK,NA,12/12/2018,NA,NA,NA,NA,NA
02369.HK,10/12/2018,NA,NA,NA,NA,NA,NA
02309.HK,NA,03/12/2018,NA,NA,NA,NA,NA
00331.HK,30/11/2018,NA,NA,NA,NA,NA,NA
08013.HK,NA,30/11/2018,NA,NA,NA,NA,NA
00333.HK,NA,30/11/2018,NA,NA,NA,NA,NA
01079.HK,NA,29/11/2018,NA,NA,NA,NA,NA
01566.HK,26/11/2018,NA,NA,NA,NA,NA,NA
08427.HK,NA,22/11/2018,NA,NA,NA,NA,NA
00191.HK,NA,21/11/2018,NA,NA,NA,NA,NA
00488.HK,NA,21/11/2018,NA,NA,NA,NA,NA
01125.HK,NA,21/11/2018,NA,NA,NA,NA,NA
00571.HK,NA,21/11/2018,NA,NA,NA,NA,NA
02211.HK,19/11/2018,NA,NA,NA,NA,NA,NA
00122.HK,15/11/2018,NA,NA,NA,NA,NA,NA
01002.HK,13/11/2018,NA,NA,NA,NA,NA,NA
08093.HK,NA,12/11/2018,NA,NA,NA,NA,NA
01622.HK,12/11/2018,NA,NA,NA,NA,NA,NA
01775.HK,NA,09/11/2018,NA,NA,NA,NA,NA
00592.HK,05/11/2018,NA,NA,NA,NA,NA,NA
00193.HK,NA,01/11/2018,NA,NA,NA,NA,NA
00673.HK,NA,01/11/2018,NA,NA,NA,NA,NA
01142.HK,NA,31/10/2018,NA,NA,NA,NA,NA
00391.HK,NA,31/10/2018,NA,NA,NA,NA,NA
00559.HK,NA,31/10/2018,NA,NA,NA,NA,NA
00383.HK,31/10/2018,NA,NA,NA,NA,NA,NA
00721.HK,NA,30/10/2018,NA,NA,NA,NA,NA
01975.HK,30/10/2018,NA,NA,NA,NA,NA,NA
00197.HK,NA,30/10/2018,NA,NA,NA,NA,NA
01046.HK,NA,30/10/2018,NA,NA,NA,NA,NA
00362.HK,NA,30/10/2018,NA,NA,NA,NA,NA
00399.HK,29/10/2018,NA,NA,NA,NA,NA,NA
00294.HK,29/10/2018,NA,NA,NA,NA,NA,NA
01082.HK,NA,29/10/2018,NA,NA,NA,NA,NA
01195.HK,NA,29/10/2018,NA,NA,NA,NA,NA
00070.HK,NA,29/10/2018,NA,NA,NA,NA,NA
00029.HK,29/10/2018,NA,NA,NA,NA,NA,NA
01419.HK,NA,29/10/2018,NA,NA,NA,NA,NA
00495.HK,NA,29/10/2018,NA,NA,NA,NA,NA
08021.HK,26/10/2018,NA,NA,NA,NA,NA,NA
00375.HK,26/10/2018,NA,NA,NA,NA,NA,NA
00789.HK,26/10/2018,NA,NA,NA,NA,NA,NA
00558.HK,26/10/2018,NA,NA,NA,NA,NA,NA
00348.HK,26/10/2018,NA,NA,NA,NA,NA,NA
00997.HK,NA,26/10/2018,NA,NA,NA,NA,NA
00841.HK,NA,26/10/2018,NA,NA,NA,NA,NA
00104.HK,NA,26/10/2018,NA,NA,NA,NA,NA
00224.HK,26/10/2018,NA,NA,NA,NA,NA,NA
