stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
08140.HK,NA,NA,30/12/2019,NA,NA,NA,NA
00825.HK,NA,NA,30/12/2019,NA,NA,NA,NA
00017.HK,NA,NA,30/12/2019,NA,NA,NA,NA
08168.HK,NA,NA,30/12/2019,NA,NA,NA,NA
02863.HK,NA,NA,30/12/2019,NA,NA,NA,NA
00907.HK,NA,30/12/2019,NA,NA,NA,NA,NA
00315.HK,NA,29/12/2019,NA,NA,NA,NA,NA
01849.HK,NA,NA,27/12/2019,NA,NA,NA,NA
00016.HK,NA,23/12/2019,NA,NA,NA,NA,NA
00839.HK,NA,19/12/2019,NA,NA,NA,NA,NA
00659.HK,NA,NA,18/12/2019,NA,NA,NA,NA
01758.HK,NA,NA,18/12/2019,NA,NA,NA,NA
00862.HK,NA,NA,13/12/2019,NA,NA,NA,NA
00053.HK,NA,NA,11/12/2019,NA,NA,NA,NA
01130.HK,NA,NA,09/12/2019,NA,NA,NA,NA
00416.HK,NA,06/12/2019,NA,NA,NA,NA,NA
01079.HK,NA,NA,04/12/2019,NA,NA,NA,NA
00331.HK,NA,29/11/2019,NA,NA,NA,NA,NA
08475.HK,NA,29/11/2019,NA,NA,NA,NA,NA
08013.HK,NA,NA,27/11/2019,NA,NA,NA,NA
08427.HK,NA,NA,27/11/2019,NA,NA,NA,NA
00191.HK,NA,NA,20/11/2019,NA,NA,NA,NA
00488.HK,NA,NA,20/11/2019,NA,NA,NA,NA
00571.HK,NA,NA,20/11/2019,NA,NA,NA,NA
01125.HK,NA,NA,20/11/2019,NA,NA,NA,NA
00122.HK,NA,14/11/2019,NA,NA,NA,NA,NA
08321.HK,NA,NA,13/11/2019,NA,NA,NA,NA
08093.HK,NA,NA,12/11/2019,NA,NA,NA,NA
01002.HK,NA,08/11/2019,NA,NA,NA,NA,NA
08035.HK,NA,08/11/2019,NA,NA,NA,NA,NA
02309.HK,NA,NA,05/11/2019,NA,NA,NA,NA
00209.HK,NA,04/11/2019,NA,NA,NA,NA,NA
00193.HK,NA,NA,01/11/2019,NA,NA,NA,NA
00164.HK,NA,NA,31/10/2019,NA,NA,NA,NA
01673.HK,NA,NA,31/10/2019,NA,NA,NA,NA
00559.HK,NA,NA,31/10/2019,NA,NA,NA,NA
01142.HK,NA,NA,30/10/2019,NA,NA,NA,NA
00721.HK,NA,NA,30/10/2019,NA,NA,NA,NA
01559.HK,NA,NA,30/10/2019,NA,NA,NA,NA
00197.HK,NA,30/10/2019,NA,NA,NA,NA,NA
00979.HK,NA,30/10/2019,NA,NA,NA,NA,NA
01360.HK,NA,30/10/2019,NA,NA,NA,NA,NA
01195.HK,NA,NA,30/10/2019,NA,NA,NA,NA
01775.HK,NA,NA,30/10/2019,NA,NA,NA,NA
00391.HK,NA,NA,30/10/2019,NA,NA,NA,NA
00022.HK,NA,NA,29/10/2019,NA,NA,NA,NA
00841.HK,NA,NA,29/10/2019,NA,NA,NA,NA
02230.HK,NA,NA,29/10/2019,NA,NA,NA,NA
01975.HK,NA,29/10/2019,NA,NA,NA,NA,NA
01046.HK,NA,NA,29/10/2019,NA,NA,NA,NA
00997.HK,NA,NA,29/10/2019,NA,NA,NA,NA
02689.HK,NA,29/10/2019,NA,NA,NA,NA,NA
00495.HK,NA,NA,29/10/2019,NA,NA,NA,NA
01348.HK,NA,NA,29/10/2019,NA,NA,NA,NA
01419.HK,NA,NA,29/10/2019,NA,NA,NA,NA
00399.HK,NA,28/10/2019,NA,NA,NA,NA,NA
01566.HK,NA,NA,28/10/2019,NA,NA,NA,NA
01752.HK,NA,NA,28/10/2019,NA,NA,NA,NA
00475.HK,NA,28/10/2019,NA,NA,NA,NA,NA
00029.HK,NA,NA,28/10/2019,NA,NA,NA,NA
00254.HK,NA,28/10/2019,NA,NA,NA,NA,NA
00254.HK,28/10/2019,NA,NA,NA,NA,NA,NA
00254.HK,NA,NA,NA,NA,NA,NA,NA
08021.HK,NA,28/10/2019,NA,NA,NA,NA,NA
01627.HK,NA,NA,25/10/2019,NA,NA,NA,NA
08366.HK,NA,NA,25/10/2019,NA,NA,NA,NA
00673.HK,NA,NA,25/10/2019,NA,NA,NA,NA
01173.HK,NA,NA,25/10/2019,NA,NA,NA,NA
00104.HK,NA,NA,25/10/2019,NA,NA,NA,NA
00565.HK,NA,NA,25/10/2019,NA,NA,NA,NA
01443.HK,NA,NA,25/10/2019,NA,NA,NA,NA
01723.HK,NA,NA,24/10/2019,NA,NA,NA,NA
00332.HK,NA,24/10/2019,NA,NA,NA,NA,NA
00294.HK,NA,24/10/2019,NA,NA,NA,NA,NA
00213.HK,NA,NA,24/10/2019,NA,NA,NA,NA
01082.HK,NA,NA,24/10/2019,NA,NA,NA,NA
00455.HK,NA,NA,NA,NA,NA,NA,NA
00224.HK,NA,24/10/2019,NA,NA,NA,NA,NA
01166.HK,NA,NA,24/10/2019,NA,NA,NA,NA
02211.HK,NA,24/10/2019,NA,NA,NA,NA,NA
00519.HK,NA,NA,24/10/2019,NA,NA,NA,NA
00183.HK,NA,NA,24/10/2019,NA,NA,NA,NA
00375.HK,NA,24/10/2019,NA,NA,NA,NA,NA
01226.HK,NA,23/10/2019,NA,NA,NA,NA,NA
00126.HK,NA,NA,23/10/2019,NA,NA,NA,NA
00216.HK,NA,23/10/2019,NA,NA,NA,NA,NA
00160.HK,NA,23/10/2019,NA,NA,NA,NA,NA
00919.HK,NA,23/10/2019,NA,NA,NA,NA,NA
01050.HK,NA,23/10/2019,NA,NA,NA,NA,NA
00558.HK,NA,23/10/2019,NA,NA,NA,NA,NA
01073.HK,NA,23/10/2019,NA,NA,NA,NA,NA
01726.HK,NA,NA,23/10/2019,NA,NA,NA,NA
03708.HK,NA,NA,23/10/2019,NA,NA,NA,NA
00040.HK,NA,23/10/2019,NA,NA,NA,NA,NA
03626.HK,NA,NA,23/10/2019,NA,NA,NA,NA
01326.HK,NA,23/10/2019,NA,NA,NA,NA,NA
02189.HK,NA,NA,22/10/2019,NA,NA,NA,NA
00052.HK,NA,22/10/2019,NA,NA,NA,NA,NA
00855.HK,NA,NA,22/10/2019,NA,NA,NA,NA
02138.HK,NA,NA,22/10/2019,NA,NA,NA,NA
00918.HK,NA,21/10/2019,NA,NA,NA,NA,NA
03893.HK,NA,NA,21/10/2019,NA,NA,NA,NA
01104.HK,NA,NA,21/10/2019,NA,NA,NA,NA
01939.HK,NA,NA,18/10/2019,NA,NA,NA,NA
00070.HK,NA,NA,18/10/2019,NA,NA,NA,NA
02368.HK,NA,NA,18/10/2019,NA,NA,NA,NA
01323.HK,NA,18/10/2019,NA,NA,NA,NA,NA
01047.HK,NA,NA,18/10/2019,NA,NA,NA,NA
00017.HK,NA,NA,18/10/2019,NA,NA,NA,NA
