stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
01903.HK,NA,NA,18/10/2019,NA,NA,NA,NA
00924.HK,NA,NA,18/10/2019,NA,NA,NA,NA
00057.HK,NA,NA,18/10/2019,NA,NA,NA,NA
01009.HK,NA,18/10/2019,NA,NA,NA,NA,NA
01314.HK,NA,NA,17/10/2019,NA,NA,NA,NA
00722.HK,NA,NA,17/10/2019,NA,NA,NA,NA
00491.HK,NA,17/10/2019,NA,NA,NA,NA,NA
00959.HK,NA,NA,16/10/2019,NA,NA,NA,NA
03998.HK,NA,16/10/2019,NA,NA,NA,NA,NA
01655.HK,NA,NA,16/10/2019,NA,NA,NA,NA
00973.HK,NA,NA,15/10/2019,NA,NA,NA,NA
00591.HK,NA,NA,15/10/2019,NA,NA,NA,NA
01709.HK,NA,14/10/2019,NA,NA,NA,NA,NA
00280.HK,NA,NA,14/10/2019,NA,NA,NA,NA
02113.HK,NA,NA,NA,NA,NA,NA,NA
01682.HK,NA,NA,11/10/2019,NA,NA,NA,NA
00638.HK,NA,NA,11/10/2019,NA,NA,NA,NA
02293.HK,NA,NA,11/10/2019,NA,NA,NA,NA
00411.HK,NA,NA,11/10/2019,NA,NA,NA,NA
00348.HK,NA,11/10/2019,NA,NA,NA,NA,NA
00846.HK,NA,10/10/2019,NA,NA,NA,NA,NA
00846.HK,10/10/2019,NA,NA,NA,NA,NA,NA
00846.HK,NA,NA,NA,NA,NA,NA,NA
00681.HK,NA,10/10/2019,NA,NA,NA,NA,NA
01023.HK,NA,NA,10/10/2019,NA,NA,NA,NA
00684.HK,NA,09/10/2019,NA,NA,NA,NA,NA
00321.HK,NA,NA,09/10/2019,NA,NA,NA,NA
01341.HK,NA,08/10/2019,NA,NA,NA,NA,NA
00474.HK,NA,08/10/2019,NA,NA,NA,NA,NA
01229.HK,NA,08/10/2019,NA,NA,NA,NA,NA
00592.HK,NA,04/10/2019,NA,NA,NA,NA,NA
01830.HK,NA,NA,02/10/2019,NA,NA,NA,NA
01716.HK,NA,NA,02/10/2019,NA,NA,NA,NA
00252.HK,NA,02/10/2019,NA,NA,NA,NA,NA
00401.HK,NA,02/10/2019,NA,NA,NA,NA,NA
01793.HK,NA,02/10/2019,NA,NA,NA,NA,NA
01220.HK,NA,30/09/2019,NA,NA,NA,NA,NA
08320.HK,NA,NA,30/09/2019,NA,NA,NA,NA
00896.HK,NA,30/09/2019,NA,NA,NA,NA,NA
08262.HK,NA,NA,30/09/2019,NA,NA,NA,NA
08047.HK,NA,29/09/2019,NA,NA,NA,NA,NA
08103.HK,NA,NA,27/09/2019,NA,NA,NA,NA
08299.HK,NA,27/09/2019,NA,NA,NA,NA,NA
08510.HK,NA,27/09/2019,NA,NA,NA,NA,NA
08156.HK,NA,NA,27/09/2019,NA,NA,NA,NA
00259.HK,NA,27/09/2019,NA,NA,NA,NA,NA
08487.HK,NA,27/09/2019,NA,NA,NA,NA,NA
08300.HK,NA,NA,27/09/2019,NA,NA,NA,NA
08422.HK,NA,27/09/2019,NA,NA,NA,NA,NA
01757.HK,NA,27/09/2019,NA,NA,NA,NA,NA
01382.HK,NA,27/09/2019,NA,NA,NA,NA,NA
02326.HK,NA,27/09/2019,NA,NA,NA,NA,NA
00030.HK,NA,27/09/2019,NA,NA,NA,NA,NA
08195.HK,NA,NA,27/09/2019,NA,NA,NA,NA
08041.HK,NA,NA,27/09/2019,NA,NA,NA,NA
08391.HK,NA,NA,26/09/2019,NA,NA,NA,NA
08315.HK,NA,NA,26/09/2019,NA,NA,NA,NA
01841.HK,NA,26/09/2019,NA,NA,NA,NA,NA
08193.HK,NA,NA,26/09/2019,NA,NA,NA,NA
01319.HK,NA,NA,26/09/2019,NA,NA,NA,NA
01496.HK,NA,NA,26/09/2019,NA,NA,NA,NA
08250.HK,NA,NA,26/09/2019,NA,NA,NA,NA
08201.HK,NA,NA,26/09/2019,NA,NA,NA,NA
08149.HK,NA,NA,26/09/2019,NA,NA,NA,NA
08295.HK,NA,26/09/2019,NA,NA,NA,NA,NA
01621.HK,NA,NA,26/09/2019,NA,NA,NA,NA
00899.HK,NA,NA,26/09/2019,NA,NA,NA,NA
00128.HK,NA,NA,26/09/2019,NA,NA,NA,NA
08143.HK,NA,25/09/2019,NA,NA,NA,NA,NA
08356.HK,NA,25/09/2019,NA,NA,NA,NA,NA
08609.HK,NA,NA,25/09/2019,NA,NA,NA,NA
01686.HK,NA,25/09/2019,NA,NA,NA,NA,NA
08269.HK,NA,NA,25/09/2019,NA,NA,NA,NA
08277.HK,NA,NA,24/09/2019,NA,NA,NA,NA
00130.HK,NA,NA,24/09/2019,NA,NA,NA,NA
01797.HK,NA,NA,24/09/2019,NA,NA,NA,NA
00333.HK,NA,NA,23/09/2019,NA,NA,NA,NA
08341.HK,NA,NA,23/09/2019,NA,NA,NA,NA
08428.HK,NA,NA,23/09/2019,NA,NA,NA,NA
08200.HK,NA,NA,20/09/2019,NA,NA,NA,NA
01662.HK,NA,20/09/2019,NA,NA,NA,NA,NA
01221.HK,NA,NA,20/09/2019,NA,NA,NA,NA
00083.HK,NA,NA,20/09/2019,NA,NA,NA,NA
00247.HK,NA,NA,20/09/2019,NA,NA,NA,NA
01470.HK,NA,NA,20/09/2019,NA,NA,NA,NA
00435.HK,NA,20/09/2019,NA,NA,NA,NA,NA
00745.HK,NA,NA,19/09/2019,NA,NA,NA,NA
08067.HK,NA,NA,19/09/2019,NA,NA,NA,NA
08545.HK,NA,NA,19/09/2019,NA,NA,NA,NA
08511.HK,NA,NA,19/09/2019,NA,NA,NA,NA
08020.HK,NA,18/09/2019,NA,NA,NA,NA,NA
01660.HK,NA,NA,17/09/2019,NA,NA,NA,NA
08017.HK,NA,17/09/2019,NA,NA,NA,NA,NA
00243.HK,NA,NA,17/09/2019,NA,NA,NA,NA
00384.HK,NA,17/09/2019,NA,NA,NA,NA,NA
08501.HK,NA,NA,17/09/2019,NA,NA,NA,NA
01943.HK,NA,NA,17/09/2019,NA,NA,NA,NA
08316.HK,NA,NA,16/09/2019,NA,NA,NA,NA
00276.HK,NA,NA,16/09/2019,NA,NA,NA,NA
01633.HK,NA,NA,16/09/2019,NA,NA,NA,NA
03306.HK,NA,16/09/2019,NA,NA,NA,NA,NA
08507.HK,NA,NA,13/09/2019,NA,NA,NA,NA
08319.HK,NA,NA,13/09/2019,NA,NA,NA,NA
01667.HK,NA,13/09/2019,NA,NA,NA,NA,NA
00343.HK,NA,NA,12/09/2019,NA,NA,NA,NA
00794.HK,NA,NA,12/09/2019,NA,NA,NA,NA
00403.HK,NA,12/09/2019,NA,NA,NA,NA,NA
00948.HK,NA,NA,11/09/2019,NA,NA,NA,NA
00674.HK,NA,NA,10/09/2019,NA,NA,NA,NA
01575.HK,NA,10/09/2019,NA,NA,NA,NA,NA
01271.HK,NA,10/09/2019,NA,NA,NA,NA,NA
00223.HK,NA,NA,06/09/2019,NA,NA,NA,NA
08367.HK,NA,NA,06/09/2019,NA,NA,NA,NA
01653.HK,NA,NA,05/09/2019,NA,NA,NA,NA
00738.HK,NA,NA,04/09/2019,NA,NA,NA,NA
08220.HK,NA,04/09/2019,NA,NA,NA,NA,NA
08603.HK,NA,04/09/2019,NA,NA,NA,NA,NA
08072.HK,NA,04/09/2019,NA,NA,NA,NA,NA
01466.HK,NA,NA,03/09/2019,NA,NA,NA,NA
08130.HK,NA,NA,02/09/2019,NA,NA,NA,NA
00750.HK,NA,02/09/2019,NA,NA,NA,NA,NA
08447.HK,NA,NA,30/08/2019,NA,NA,NA,NA
08057.HK,NA,30/08/2019,NA,NA,NA,NA,NA
08412.HK,NA,NA,30/08/2019,NA,NA,NA,NA
08268.HK,NA,NA,30/08/2019,NA,NA,NA,NA
08427.HK,NA,NA,30/08/2019,NA,NA,NA,NA
00262.HK,NA,NA,30/08/2019,NA,NA,NA,NA
01867.HK,NA,NA,29/08/2019,NA,NA,NA,NA
01850.HK,NA,NA,29/08/2019,NA,NA,NA,NA
08222.HK,NA,28/08/2019,NA,NA,NA,NA,NA
01245.HK,NA,NA,27/08/2019,NA,NA,NA,NA
00992.HK,NA,27/08/2019,NA,NA,NA,NA,NA
01373.HK,NA,NA,26/08/2019,NA,NA,NA,NA
01001.HK,NA,26/08/2019,NA,NA,NA,NA,NA
00932.HK,NA,26/08/2019,NA,NA,NA,NA,NA
00125.HK,NA,21/08/2019,NA,NA,NA,NA,NA
00417.HK,NA,16/08/2019,NA,NA,NA,NA,NA
03830.HK,NA,NA,16/08/2019,NA,NA,NA,NA
00093.HK,NA,NA,16/08/2019,NA,NA,NA,NA
00464.HK,NA,NA,15/08/2019,NA,NA,NA,NA
08080.HK,NA,15/08/2019,NA,NA,NA,NA,NA
00179.HK,NA,NA,12/08/2019,NA,NA,NA,NA
01213.HK,NA,09/08/2019,NA,NA,NA,NA,NA
06889.HK,NA,NA,09/08/2019,NA,NA,NA,NA
00923.HK,NA,NA,06/08/2019,NA,NA,NA,NA
00557.HK,NA,01/08/2019,NA,NA,NA,NA,NA
01536.HK,NA,01/08/2019,NA,NA,NA,NA,NA
08225.HK,NA,31/07/2019,NA,NA,NA,NA,NA
01796.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00377.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00969.HK,NA,31/07/2019,NA,NA,NA,NA,NA
06185.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00828.HK,NA,31/07/2019,NA,NA,NA,NA,NA
01647.HK,NA,NA,31/07/2019,NA,NA,NA,NA
00355.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00573.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00617.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00078.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00120.HK,NA,31/07/2019,NA,NA,NA,NA,NA
01963.HK,NA,31/07/2019,NA,NA,NA,NA,NA
00521.HK,NA,31/07/2019,NA,NA,NA,NA,NA
01889.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00147.HK,NA,30/07/2019,NA,NA,NA,NA,NA
01165.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00211.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00156.HK,NA,30/07/2019,NA,NA,NA,NA,NA
01225.HK,NA,30/07/2019,NA,NA,NA,NA,NA
01222.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00508.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00035.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00226.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00621.HK,NA,NA,30/07/2019,NA,NA,NA,NA
01243.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00897.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00526.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00567.HK,NA,30/07/2019,NA,NA,NA,NA,NA
01653.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00723.HK,NA,30/07/2019,NA,NA,NA,NA,NA
06893.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00731.HK,NA,NA,30/07/2019,NA,NA,NA,NA
01591.HK,NA,NA,30/07/2019,NA,NA,NA,NA
01539.HK,NA,30/07/2019,NA,NA,NA,NA,NA
03399.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00986.HK,NA,NA,30/07/2019,NA,NA,NA,NA
01613.HK,NA,NA,30/07/2019,NA,NA,NA,NA
03933.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00269.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00292.HK,NA,NA,30/07/2019,NA,NA,NA,NA
02682.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00214.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00037.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00129.HK,NA,NA,30/07/2019,NA,NA,NA,NA
00309.HK,NA,30/07/2019,NA,NA,NA,NA,NA
02668.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00279.HK,NA,30/07/2019,NA,NA,NA,NA,NA
00608.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00574.HK,NA,29/07/2019,NA,NA,NA,NA,NA
01057.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00486.HK,NA,29/07/2019,NA,NA,NA,NA,NA
01890.HK,NA,29/07/2019,NA,NA,NA,NA,NA
03666.HK,NA,29/07/2019,NA,NA,NA,NA,NA
01733.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00205.HK,NA,29/07/2019,NA,NA,NA,NA,NA
01820.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00033.HK,NA,29/07/2019,NA,NA,NA,NA,NA
08118.HK,NA,NA,29/07/2019,NA,NA,NA,NA
01668.HK,NA,29/07/2019,NA,NA,NA,NA,NA
03668.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00096.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00518.HK,NA,NA,29/07/2019,NA,NA,NA,NA
00736.HK,NA,NA,29/07/2019,NA,NA,NA,NA
00162.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00306.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00313.HK,NA,NA,29/07/2019,NA,NA,NA,NA
01832.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00367.HK,NA,NA,29/07/2019,NA,NA,NA,NA
01124.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00655.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00686.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00485.HK,NA,NA,29/07/2019,NA,NA,NA,NA
00199.HK,NA,29/07/2019,NA,NA,NA,NA,NA
01681.HK,NA,29/07/2019,NA,NA,NA,NA,NA
00727.HK,NA,29/07/2019,NA,NA,NA,NA,NA
01801.HK,NA,28/07/2019,NA,NA,NA,NA,NA
01837.HK,NA,28/07/2019,NA,NA,NA,NA,NA
01210.HK,NA,28/07/2019,NA,NA,NA,NA,NA
00596.HK,NA,28/07/2019,NA,NA,NA,NA,NA
06816.HK,NA,28/07/2019,NA,NA,NA,NA,NA
01606.HK,NA,26/07/2019,NA,NA,NA,NA,NA
03316.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00815.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01815.HK,NA,26/07/2019,NA,NA,NA,NA,NA
06123.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01328.HK,NA,26/07/2019,NA,NA,NA,NA,NA
03738.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01138.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01189.HK,NA,26/07/2019,NA,NA,NA,NA,NA
02307.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00227.HK,NA,26/07/2019,NA,NA,NA,NA,NA
02186.HK,NA,26/07/2019,NA,NA,NA,NA,NA
06896.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01028.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01239.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01917.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01690.HK,NA,26/07/2019,NA,NA,NA,NA,NA
02266.HK,NA,26/07/2019,NA,NA,NA,NA,NA
03800.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00970.HK,NA,NA,26/07/2019,NA,NA,NA,NA
01538.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00039.HK,NA,26/07/2019,NA,NA,NA,NA,NA
02120.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01252.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00412.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00866.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00645.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00702.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00716.HK,NA,NA,NA,NA,NA,NA,NA
01894.HK,NA,NA,26/07/2019,NA,NA,NA,NA
01250.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00499.HK,NA,NA,26/07/2019,NA,NA,NA,NA
01825.HK,NA,NA,26/07/2019,NA,NA,NA,NA
06888.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00845.HK,NA,NA,NA,NA,NA,NA,NA
00981.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01272.HK,NA,26/07/2019,NA,NA,NA,NA,NA
02708.HK,NA,NA,26/07/2019,NA,NA,NA,NA
02012.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01860.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01201.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00646.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00372.HK,NA,NA,26/07/2019,NA,NA,NA,NA
01177.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00677.HK,NA,NA,26/07/2019,NA,NA,NA,NA
03669.HK,NA,26/07/2019,NA,NA,NA,NA,NA
01803.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00679.HK,NA,26/07/2019,NA,NA,NA,NA,NA
06882.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00444.HK,NA,NA,26/07/2019,NA,NA,NA,NA
02031.HK,NA,26/07/2019,NA,NA,NA,NA,NA
00547.HK,NA,25/07/2019,NA,NA,NA,NA,NA
06083.HK,NA,25/07/2019,NA,NA,NA,NA,NA
01565.HK,NA,25/07/2019,NA,NA,NA,NA,NA
01620.HK,NA,25/07/2019,NA,NA,NA,NA,NA
01181.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00767.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00290.HK,NA,NA,25/07/2019,NA,NA,NA,NA
00895.HK,NA,25/07/2019,NA,NA,NA,NA,NA
01902.HK,NA,25/07/2019,NA,NA,NA,NA,NA
02377.HK,NA,25/07/2019,NA,NA,NA,NA,NA
06858.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00385.HK,NA,25/07/2019,NA,NA,NA,NA,NA
06100.HK,NA,25/07/2019,NA,NA,NA,NA,NA
03878.HK,NA,NA,25/07/2019,NA,NA,NA,NA
01556.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00451.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00266.HK,NA,NA,NA,NA,NA,NA,NA
00105.HK,NA,NA,NA,NA,NA,NA,NA
01637.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00335.HK,NA,NA,25/07/2019,NA,NA,NA,NA
01545.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00638.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00228.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00154.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00599.HK,NA,NA,25/07/2019,NA,NA,NA,NA
00060.HK,NA,NA,25/07/2019,NA,NA,NA,NA
00278.HK,NA,NA,25/07/2019,NA,NA,NA,NA
01933.HK,NA,NA,25/07/2019,NA,NA,NA,NA
00989.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00497.HK,NA,NA,25/07/2019,NA,NA,NA,NA
00784.HK,NA,NA,25/07/2019,NA,NA,NA,NA
02078.HK,NA,25/07/2019,NA,NA,NA,NA,NA
03997.HK,NA,25/07/2019,NA,NA,NA,NA,NA
01982.HK,NA,NA,25/07/2019,NA,NA,NA,NA
01547.HK,NA,25/07/2019,NA,NA,NA,NA,NA
01013.HK,NA,NA,25/07/2019,NA,NA,NA,NA
01285.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00204.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00476.HK,NA,NA,25/07/2019,NA,NA,NA,NA
01461.HK,NA,25/07/2019,NA,NA,NA,NA,NA
06033.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00595.HK,NA,NA,25/07/2019,NA,NA,NA,NA
00287.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00374.HK,NA,NA,25/07/2019,NA,NA,NA,NA
03998.HK,NA,25/07/2019,NA,NA,NA,NA,NA
01628.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00931.HK,NA,NA,25/07/2019,NA,NA,NA,NA
01685.HK,NA,25/07/2019,NA,NA,NA,NA,NA
00358.HK,NA,24/07/2019,NA,NA,NA,NA,NA
01785.HK,NA,24/07/2019,NA,NA,NA,NA,NA
00951.HK,NA,24/07/2019,NA,NA,NA,NA,NA
00694.HK,NA,24/07/2019,NA,NA,NA,NA,NA
00079.HK,NA,24/07/2019,NA,NA,NA,NA,NA
02013.HK,NA,24/07/2019,NA,NA,NA,NA,NA
01968.HK,NA,24/07/2019,NA,NA,NA,NA,NA
02633.HK,NA,NA,24/07/2019,NA,NA,NA,NA
01760.HK,NA,24/07/2019,NA,NA,NA,NA,NA
00034.HK,NA,24/07/2019,NA,NA,NA,NA,NA
