stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
08366.HK,NA,NA,NA,NA,NA,30/09/2022,NA
08645.HK,NA,NA,NA,NA,30/09/2022,NA,NA
08020.HK,NA,NA,NA,NA,30/09/2022,NA,NA
08493.HK,NA,NA,NA,NA,29/09/2022,NA,NA
08250.HK,NA,NA,NA,NA,NA,29/09/2022,NA
08321.HK,NA,NA,NA,NA,NA,29/09/2022,NA
00245.HK,NA,NA,NA,NA,29/09/2022,NA,NA
08041.HK,NA,NA,NA,NA,NA,29/09/2022,NA
08021.HK,NA,NA,NA,NA,29/09/2022,NA,NA
08067.HK,NA,NA,NA,NA,NA,29/09/2022,NA
02226.HK,NA,NA,NA,NA,29/09/2022,NA,NA
02226.HK,NA,NA,NA,29/09/2022,NA,NA,NA
08201.HK,NA,NA,NA,NA,NA,28/09/2022,NA
01470.HK,NA,NA,NA,NA,NA,28/09/2022,NA
03963.HK,NA,NA,NA,NA,28/09/2022,NA,NA
01370.HK,NA,NA,NA,28/09/2022,NA,NA,NA
08370.HK,NA,NA,NA,NA,27/09/2022,NA,NA
08487.HK,NA,NA,NA,NA,26/09/2022,NA,NA
08039.HK,NA,NA,NA,NA,26/09/2022,NA,NA
01686.HK,NA,NA,NA,NA,23/09/2022,NA,NA
01221.HK,NA,NA,NA,NA,NA,22/09/2022,NA
00247.HK,NA,NA,NA,NA,NA,22/09/2022,NA
00083.HK,NA,NA,NA,NA,NA,22/09/2022,NA
01114.HK,NA,NA,NA,NA,22/09/2022,NA,NA
00159.HK,NA,NA,NA,NA,NA,21/09/2022,NA
01797.HK,NA,NA,NA,NA,NA,20/09/2022,NA
02302.HK,NA,NA,NA,NA,18/09/2022,NA,NA
02302.HK,NA,NA,NA,18/09/2022,NA,NA,NA
00243.HK,NA,NA,NA,NA,NA,16/09/2022,NA
03306.HK,NA,NA,NA,NA,15/09/2022,NA,NA
01942.HK,NA,NA,NA,NA,14/09/2022,NA,NA
03380.HK,NA,NA,NA,NA,09/09/2022,NA,NA
00928.HK,NA,NA,NA,NA,NA,09/09/2022,NA
01650.HK,NA,NA,NA,NA,08/09/2022,NA,NA
01650.HK,NA,NA,NA,08/09/2022,NA,NA,NA
