stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
0731.HK,NA,NA,NA,NA,31/12/2021,NA,NA
0362.HK,NA,NA,NA,NA,31/12/2021,NA,NA
0731.HK,NA,NA,NA,31/12/2021,NA,NA,NA
1765.HK,NA,NA,NA,NA,31/12/2021,NA,NA
8168.HK,NA,NA,NA,NA,31/12/2021,NA,NA
2863.HK,NA,NA,NA,NA,30/12/2021,NA,NA
8093.HK,NA,NA,NA,NA,30/12/2021,NA,NA
1969.HK,NA,NA,NA,NA,29/12/2021,NA,NA
2102.HK,NA,NA,NA,NA,29/12/2021,NA,NA
8422.HK,NA,NA,NA,28/12/2021,NA,NA,NA
0839.HK,NA,NA,NA,28/12/2021,NA,NA,NA
0994.HK,NA,NA,NA,24/12/2021,NA,NA,NA
0353.HK,NA,NA,NA,23/12/2021,NA,NA,NA
1756.HK,NA,NA,NA,NA,21/12/2021,NA,NA
0315.HK,NA,NA,NA,30/11/2021,NA,NA,NA
0053.HK,NA,NA,NA,NA,30/11/2021,NA,NA
0197.HK,NA,NA,NA,30/11/2021,NA,NA,NA
8427.HK,NA,NA,NA,NA,30/11/2021,NA,NA
1130.HK,NA,NA,NA,NA,30/11/2021,NA,NA
0016<br/>05807<br/>40130<br/>40217.HK,NA,NA,NA,30/11/2021,NA,NA,NA
1059.HK,NA,NA,NA,NA,29/11/2021,NA,NA
0092.HK,NA,NA,NA,NA,29/11/2021,NA,NA
0513.HK,NA,NA,NA,NA,29/11/2021,NA,NA
0331.HK,NA,NA,NA,29/11/2021,NA,NA,NA
0825.HK,NA,NA,NA,NA,29/11/2021,NA,NA
0862.HK,NA,NA,NA,NA,29/11/2021,NA,NA
1849.HK,NA,NA,NA,NA,29/11/2021,NA,NA
8013.HK,NA,NA,NA,NA,29/11/2021,NA,NA
8475.HK,NA,NA,NA,26/11/2021,NA,NA,NA
2033.HK,NA,NA,NA,NA,26/11/2021,NA,NA
2309.HK,NA,NA,NA,NA,26/11/2021,NA,NA
0247.HK,NA,NA,NA,NA,26/11/2021,NA,NA
0083.HK,NA,NA,NA,NA,26/11/2021,NA,NA
2282.HK,NA,NA,NA,25/11/2021,NA,NA,NA
1079.HK,NA,NA,NA,NA,23/11/2021,NA,NA
2882.HK,NA,NA,NA,NA,23/11/2021,NA,NA
0188.HK,NA,NA,NA,NA,22/11/2021,NA,NA
8645.HK,NA,NA,NA,19/11/2021,NA,NA,NA
0122.HK,NA,NA,NA,18/11/2021,NA,NA,NA
0488<br/>40782.HK,NA,NA,NA,NA,17/11/2021,NA,NA
0191.HK,NA,NA,NA,NA,17/11/2021,NA,NA
1125.HK,NA,NA,NA,NA,17/11/2021,NA,NA
0571.HK,NA,NA,NA,NA,17/11/2021,NA,NA
2799.HK,NA,NA,NA,17/11/2021,NA,NA,NA
0243.HK,NA,NA,NA,NA,12/11/2021,NA,NA
1002.HK,NA,NA,NA,12/11/2021,NA,NA,NA
1310.HK,NA,NA,NA,NA,11/11/2021,NA,NA
0745.HK,NA,NA,NA,NA,10/11/2021,NA,NA
1960.HK,NA,NA,NA,NA,09/11/2021,NA,NA
1653.HK,NA,NA,NA,NA,09/11/2021,NA,NA
1775.HK,NA,NA,NA,NA,05/11/2021,NA,NA
3800.HK,NA,NA,NA,03/11/2021,NA,NA,NA
0193.HK,NA,NA,NA,NA,03/11/2021,NA,NA
1889.HK,NA,NA,NA,29/10/2021,NA,NA,NA
1889.HK,NA,NA,29/10/2021,NA,NA,NA,NA
1566.HK,NA,NA,NA,NA,29/10/2021,NA,NA
8238.HK,NA,NA,NA,29/10/2021,NA,NA,NA
0736.HK,NA,NA,NA,29/10/2021,NA,NA,NA
8029.HK,NA,NA,NA,29/10/2021,NA,NA,NA
0294.HK,NA,NA,NA,29/10/2021,NA,NA,NA
0391.HK,NA,NA,NA,NA,29/10/2021,NA,NA
0033.HK,NA,NA,NA,NA,29/10/2021,NA,NA
0565.HK,NA,NA,NA,NA,29/10/2021,NA,NA
0070.HK,NA,NA,NA,NA,29/10/2021,NA,NA
0040.HK,NA,NA,NA,29/10/2021,NA,NA,NA
0979.HK,NA,NA,NA,29/10/2021,NA,NA,NA
0721.HK,NA,NA,NA,NA,28/10/2021,NA,NA
0399.HK,NA,NA,NA,28/10/2021,NA,NA,NA
