stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
1765.HK,NA,NA,NA,NA,NA,30/12/2022,NA
8365.HK,NA,NA,NA,NA,29/12/2022,NA,NA
1565.HK,NA,NA,NA,NA,NA,29/12/2022,NA
2001.HK,NA,NA,NA,NA,NA,29/12/2022,NA
8168.HK,NA,NA,NA,NA,NA,29/12/2022,NA
1593.HK,NA,NA,NA,NA,NA,29/12/2022,NA
8451.HK,NA,NA,NA,NA,NA,28/12/2022,NA
1969.HK,NA,NA,NA,NA,NA,28/12/2022,NA
0362.HK,NA,NA,NA,NA,NA,22/12/2022,NA
0839.HK,NA,NA,NA,NA,22/12/2022,NA,NA
2102.HK,NA,NA,NA,NA,NA,21/12/2022,NA
1756.HK,NA,NA,NA,NA,NA,20/12/2022,NA
1773.HK,NA,NA,NA,NA,NA,07/12/2022,NA
1495.HK,NA,NA,NA,NA,30/11/2022,NA,NA
1758.HK,NA,NA,NA,NA,30/11/2022,NA,NA
0315.HK,NA,NA,NA,NA,30/11/2022,NA,NA
0943.HK,NA,NA,NA,NA,NA,30/11/2022,NA
2033.HK,NA,NA,NA,NA,NA,30/11/2022,NA
0513.HK,NA,NA,NA,NA,NA,30/11/2022,NA
0197.HK,NA,NA,NA,NA,30/11/2022,NA,NA
0862.HK,NA,NA,NA,NA,NA,30/11/2022,NA
2309.HK,NA,NA,NA,NA,NA,29/11/2022,NA
0193.HK,NA,NA,NA,NA,NA,29/11/2022,NA
0331.HK,NA,NA,NA,NA,29/11/2022,NA,NA
8013.HK,NA,NA,NA,NA,NA,29/11/2022,NA
1116.HK,NA,NA,NA,NA,NA,28/11/2022,NA
0092.HK,NA,NA,NA,NA,NA,28/11/2022,NA
1059.HK,NA,NA,NA,NA,NA,28/11/2022,NA
0660.HK,NA,NA,NA,NA,28/11/2022,NA,NA
8422.HK,NA,NA,NA,NA,25/11/2022,NA,NA
2882.HK,NA,NA,NA,NA,NA,25/11/2022,NA
1130.HK,NA,NA,NA,NA,NA,18/11/2022,NA
0191.HK,NA,NA,NA,NA,NA,16/11/2022,NA
1125.HK,NA,NA,NA,NA,NA,16/11/2022,NA
0488<br/>40782.HK,NA,NA,NA,NA,NA,16/11/2022,NA
0571.HK,NA,NA,NA,NA,NA,16/11/2022,NA
2138.HK,NA,NA,NA,NA,NA,16/11/2022,NA
0333.HK,NA,NA,NA,NA,NA,15/11/2022,NA
1002.HK,NA,NA,NA,NA,14/11/2022,NA,NA
0033.HK,NA,NA,NA,NA,NA,11/11/2022,NA
1310.HK,NA,NA,NA,NA,NA,10/11/2022,NA
0122.HK,NA,NA,NA,NA,03/11/2022,NA,NA
1775.HK,NA,NA,NA,NA,NA,03/11/2022,NA
1004.HK,NA,NA,NA,NA,02/11/2022,NA,NA
1960.HK,NA,NA,NA,NA,NA,31/10/2022,NA
8427.HK,NA,NA,NA,NA,NA,31/10/2022,NA
0070.HK,NA,NA,NA,NA,NA,31/10/2022,NA
6836.HK,NA,NA,NA,NA,28/10/2022,NA,NA
0721.HK,NA,NA,NA,NA,NA,28/10/2022,NA
0053.HK,NA,NA,NA,NA,NA,28/10/2022,NA
0565.HK,NA,NA,NA,NA,NA,28/10/2022,NA
1849.HK,NA,NA,NA,NA,NA,28/10/2022,NA
1726.HK,NA,NA,NA,NA,NA,28/10/2022,NA
1419.HK,NA,NA,NA,NA,NA,28/10/2022,NA
1370.HK,NA,NA,NA,NA,28/10/2022,NA,NA
0519.HK,NA,NA,NA,NA,NA,27/10/2022,NA
0029.HK,NA,NA,NA,NA,27/10/2022,NA,NA
1079.HK,NA,NA,NA,NA,NA,27/10/2022,NA
1046.HK,NA,NA,NA,NA,NA,27/10/2022,NA
1166.HK,NA,NA,NA,NA,NA,27/10/2022,NA
1975.HK,NA,NA,NA,NA,27/10/2022,NA,NA
0559.HK,NA,NA,NA,NA,NA,27/10/2022,NA
1195.HK,NA,NA,NA,NA,NA,27/10/2022,NA
3893.HK,NA,NA,NA,NA,NA,27/10/2022,NA
0495.HK,NA,NA,NA,NA,NA,27/10/2022,NA
1082.HK,NA,NA,NA,NA,NA,27/10/2022,NA
0825.HK,NA,NA,NA,NA,NA,26/10/2022,NA
3626.HK,NA,NA,NA,NA,NA,26/10/2022,NA
1104.HK,NA,NA,NA,NA,NA,26/10/2022,NA
1326.HK,NA,NA,NA,NA,26/10/2022,NA,NA
1752.HK,NA,NA,NA,NA,NA,25/10/2022,NA
0017.HK,NA,NA,NA,NA,NA,25/10/2022,NA
0722.HK,NA,NA,NA,NA,NA,25/10/2022,NA
0183.HK,NA,NA,NA,NA,NA,25/10/2022,NA
0591.HK,NA,NA,NA,NA,NA,25/10/2022,NA
0979.HK,NA,NA,NA,NA,24/10/2022,NA,NA
2293.HK,NA,NA,NA,NA,NA,24/10/2022,NA
1009.HK,NA,NA,NA,NA,24/10/2022,NA,NA
0188.HK,NA,NA,NA,NA,NA,21/10/2022,NA
0924.HK,NA,NA,NA,NA,NA,21/10/2022,NA
9998.HK,NA,NA,NA,NA,NA,21/10/2022,NA
2211.HK,NA,NA,NA,NA,20/10/2022,NA,NA
1023.HK,NA,NA,NA,NA,NA,20/10/2022,NA
0682.HK,NA,NA,NA,20/10/2022,NA,NA,NA
1360.HK,NA,NA,NA,NA,20/10/2022,NA,NA
9896.HK,NA,NA,NA,NA,NA,19/10/2022,NA
1903.HK,NA,NA,NA,NA,NA,19/10/2022,NA
1047.HK,NA,NA,NA,NA,NA,17/10/2022,NA
0491.HK,NA,NA,NA,NA,17/10/2022,NA,NA
0026.HK,NA,NA,NA,NA,13/10/2022,NA,NA
0146.HK,NA,NA,NA,NA,10/10/2022,NA,NA
0411.HK,NA,NA,NA,NA,NA,07/10/2022,NA
0736.HK,NA,NA,NA,NA,NA,07/10/2022,NA
0645.HK,NA,NA,NA,NA,06/10/2022,NA,NA
0016.HK,NA,NA,NA,NA,06/10/2022,NA,NA
0435.HK,NA,NA,NA,NA,03/10/2022,NA,NA
8496.HK,NA,NA,NA,NA,30/09/2022,NA,NA
8156.HK,NA,NA,NA,NA,NA,30/09/2022,NA
8262.HK,NA,NA,NA,NA,NA,30/09/2022,NA
8366.HK,NA,NA,NA,NA,NA,30/09/2022,NA
