stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
0825.HK,NA,NA,NA,31/12/2020,NA,NA,NA
0053.HK,NA,NA,NA,31/12/2020,NA,NA,NA
1765.HK,NA,NA,NA,31/12/2020,NA,NA,NA
8366.HK,NA,NA,NA,30/12/2020,NA,NA,NA
0315.HK,NA,NA,28/12/2020,NA,NA,NA,NA
1969.HK,NA,NA,NA,24/12/2020,NA,NA,NA
8168.HK,NA,NA,NA,24/12/2020,NA,NA,NA
8150.HK,NA,NA,23/12/2020,NA,NA,NA,NA
8645.HK,NA,NA,NA,22/12/2020,NA,NA,NA
0839.HK,NA,NA,21/12/2020,NA,NA,NA,NA
3708.HK,NA,NA,NA,18/12/2020,NA,NA,NA
1758.HK,NA,NA,NA,18/12/2020,NA,NA,NA
1756.HK,NA,NA,NA,17/12/2020,NA,NA,NA
0862.HK,NA,NA,NA,16/12/2020,NA,NA,NA
1849.HK,NA,NA,NA,15/12/2020,NA,NA,NA
0247.HK,NA,NA,NA,15/12/2020,NA,NA,NA
0083.HK,NA,NA,NA,15/12/2020,NA,NA,NA
1555.HK,NA,NA,11/12/2020,NA,NA,NA,NA
1079.HK,NA,NA,NA,08/12/2020,NA,NA,NA
0331.HK,NA,NA,30/11/2020,NA,NA,NA,NA
0016.HK,NA,NA,30/11/2020,NA,NA,NA,NA
1566.HK,NA,NA,NA,26/11/2020,NA,NA,NA
0092.HK,NA,NA,NA,26/11/2020,NA,NA,NA
1059.HK,NA,NA,NA,26/11/2020,NA,NA,NA
8475.HK,NA,NA,26/11/2020,NA,NA,NA,NA
8013.HK,NA,NA,NA,25/11/2020,NA,NA,NA
0557.HK,NA,NA,25/11/2020,NA,NA,NA,NA
0243.HK,NA,NA,NA,23/11/2020,NA,NA,NA
8427.HK,NA,NA,NA,20/11/2020,NA,NA,NA
0191.HK,NA,NA,NA,18/11/2020,NA,NA,NA
1125.HK,NA,NA,NA,18/11/2020,NA,NA,NA
0488.HK,NA,NA,NA,18/11/2020,NA,NA,NA
0571.HK,NA,NA,NA,18/11/2020,NA,NA,NA
9998.HK,NA,NA,NA,18/11/2020,NA,NA,NA
1002.HK,NA,NA,13/11/2020,NA,NA,NA,NA
1130.HK,NA,NA,NA,13/11/2020,NA,NA,NA
8093.HK,NA,NA,NA,12/11/2020,NA,NA,NA
0122.HK,NA,NA,12/11/2020,NA,NA,NA,NA
8029.HK,NA,NA,11/11/2020,NA,NA,NA,NA
0841.HK,NA,NA,NA,08/11/2020,NA,NA,NA
0193.HK,NA,NA,NA,03/11/2020,NA,NA,NA
1673.HK,NA,NA,NA,30/10/2020,NA,NA,NA
8321.HK,NA,NA,NA,30/10/2020,NA,NA,NA
2309.HK,NA,NA,NA,30/10/2020,NA,NA,NA
0254.HK,NA,NA,30/10/2020,NA,NA,NA,NA
0681.HK,NA,NA,30/10/2020,NA,NA,NA,NA
0164.HK,NA,NA,NA,30/10/2020,NA,NA,NA
0559.HK,NA,NA,NA,30/10/2020,NA,NA,NA
0997.HK,NA,NA,NA,30/10/2020,NA,NA,NA
1653.HK,NA,NA,NA,30/10/2020,NA,NA,NA
0224.HK,NA,NA,30/10/2020,NA,NA,NA,NA
1419.HK,NA,NA,NA,30/10/2020,NA,NA,NA
0070.HK,NA,NA,NA,30/10/2020,NA,NA,NA
0721.HK,NA,NA,NA,29/10/2020,NA,NA,NA
0294.HK,NA,NA,29/10/2020,NA,NA,NA,NA
0673.HK,NA,NA,NA,29/10/2020,NA,NA,NA
8340.HK,NA,NA,NA,29/10/2020,NA,NA,NA
0391.HK,NA,NA,NA,29/10/2020,NA,NA,NA
0375.HK,NA,NA,29/10/2020,NA,NA,NA,NA
1173.HK,NA,NA,NA,29/10/2020,NA,NA,NA
0197.HK,NA,NA,29/10/2020,NA,NA,NA,NA
1046.HK,NA,NA,NA,29/10/2020,NA,NA,NA
1775.HK,NA,NA,NA,29/10/2020,NA,NA,NA
0022.HK,NA,NA,NA,29/10/2020,NA,NA,NA
1942.HK,NA,NA,28/10/2020,NA,NA,NA,NA
0332.HK,NA,NA,28/10/2020,NA,NA,NA,NA
1050.HK,NA,NA,28/10/2020,NA,NA,NA,NA
1472.HK,NA,NA,NA,28/10/2020,NA,NA,NA
0399.HK,NA,NA,28/10/2020,NA,NA,NA,NA
0029.HK,NA,NA,28/10/2020,NA,NA,NA,NA
1975.HK,NA,NA,28/10/2020,NA,NA,NA,NA
8021.HK,NA,NA,28/10/2020,NA,NA,NA,NA
0029.HK,NA,NA,28/10/2020,NA,NA,NA,NA
0495.HK,NA,NA,NA,28/10/2020,NA,NA,NA
3626.HK,NA,NA,NA,28/10/2020,NA,NA,NA
