stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
8140.HK,NA,NA,30/12/2019,NA,NA,NA,NA
0825.HK,NA,NA,30/12/2019,NA,NA,NA,NA
0017.HK,NA,NA,30/12/2019,NA,NA,NA,NA
8168.HK,NA,NA,30/12/2019,NA,NA,NA,NA
2863.HK,NA,NA,30/12/2019,NA,NA,NA,NA
0907.HK,NA,30/12/2019,NA,NA,NA,NA,NA
0315.HK,NA,29/12/2019,NA,NA,NA,NA,NA
1849.HK,NA,NA,27/12/2019,NA,NA,NA,NA
0016.HK,NA,23/12/2019,NA,NA,NA,NA,NA
0839.HK,NA,19/12/2019,NA,NA,NA,NA,NA
0659.HK,NA,NA,18/12/2019,NA,NA,NA,NA
1758.HK,NA,NA,18/12/2019,NA,NA,NA,NA
0862.HK,NA,NA,13/12/2019,NA,NA,NA,NA
0053.HK,NA,NA,11/12/2019,NA,NA,NA,NA
1130.HK,NA,NA,09/12/2019,NA,NA,NA,NA
0416.HK,NA,06/12/2019,NA,NA,NA,NA,NA
1079.HK,NA,NA,04/12/2019,NA,NA,NA,NA
0331.HK,NA,29/11/2019,NA,NA,NA,NA,NA
8475.HK,NA,29/11/2019,NA,NA,NA,NA,NA
8013.HK,NA,NA,27/11/2019,NA,NA,NA,NA
8427.HK,NA,NA,27/11/2019,NA,NA,NA,NA
0191.HK,NA,NA,20/11/2019,NA,NA,NA,NA
0488.HK,NA,NA,20/11/2019,NA,NA,NA,NA
0571.HK,NA,NA,20/11/2019,NA,NA,NA,NA
1125.HK,NA,NA,20/11/2019,NA,NA,NA,NA
0122.HK,NA,14/11/2019,NA,NA,NA,NA,NA
8321.HK,NA,NA,13/11/2019,NA,NA,NA,NA
8093.HK,NA,NA,12/11/2019,NA,NA,NA,NA
1002.HK,NA,08/11/2019,NA,NA,NA,NA,NA
8035.HK,NA,08/11/2019,NA,NA,NA,NA,NA
2309.HK,NA,NA,05/11/2019,NA,NA,NA,NA
0209.HK,NA,04/11/2019,NA,NA,NA,NA,NA
0193.HK,NA,NA,01/11/2019,NA,NA,NA,NA
0164.HK,NA,NA,31/10/2019,NA,NA,NA,NA
1673.HK,NA,NA,31/10/2019,NA,NA,NA,NA
0559.HK,NA,NA,31/10/2019,NA,NA,NA,NA
1142.HK,NA,NA,30/10/2019,NA,NA,NA,NA
0721.HK,NA,NA,30/10/2019,NA,NA,NA,NA
