stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
2863.HK,NA,31/12/2018,NA,NA,NA,NA,NA
0016.HK,31/12/2018,NA,NA,NA,NA,NA,NA
0691.HK,31/12/2018,NA,NA,NA,NA,NA,NA
8475.HK,30/12/2018,NA,NA,NA,NA,NA,NA
0053.HK,NA,28/12/2018,NA,NA,NA,NA,NA
6169.HK,NA,28/12/2018,NA,NA,NA,NA,NA
1303.HK,28/12/2018,NA,NA,NA,NA,NA,NA
0717.HK,27/12/2018,NA,NA,NA,NA,NA,NA
0839.HK,NA,27/12/2018,NA,NA,NA,NA,NA
0315.HK,24/12/2018,NA,NA,NA,NA,NA,NA
0017.HK,NA,24/12/2018,NA,NA,NA,NA,NA
8168.HK,NA,24/12/2018,NA,NA,NA,NA,NA
1130.HK,NA,21/12/2018,NA,NA,NA,NA,NA
0204.HK,NA,20/12/2018,NA,NA,NA,NA,NA
3998.HK,NA,20/12/2018,NA,NA,NA,NA,NA
0737.HK,19/12/2018,NA,NA,NA,NA,NA,NA
0825.HK,NA,19/12/2018,NA,NA,NA,NA,NA
1969.HK,NA,19/12/2018,NA,NA,NA,NA,NA
2033.HK,NA,17/12/2018,NA,NA,NA,NA,NA
0659.HK,NA,17/12/2018,NA,NA,NA,NA,NA
1758.HK,NA,17/12/2018,NA,NA,NA,NA,NA
8140.HK,NA,14/12/2018,NA,NA,NA,NA,NA
0862.HK,NA,12/12/2018,NA,NA,NA,NA,NA
2369.HK,10/12/2018,NA,NA,NA,NA,NA,NA
2309.HK,NA,03/12/2018,NA,NA,NA,NA,NA
0331.HK,30/11/2018,NA,NA,NA,NA,NA,NA
8013.HK,NA,30/11/2018,NA,NA,NA,NA,NA
0333.HK,NA,30/11/2018,NA,NA,NA,NA,NA
1079.HK,NA,29/11/2018,NA,NA,NA,NA,NA
1566.HK,26/11/2018,NA,NA,NA,NA,NA,NA
8427.HK,NA,22/11/2018,NA,NA,NA,NA,NA
0191.HK,NA,21/11/2018,NA,NA,NA,NA,NA
0488.HK,NA,21/11/2018,NA,NA,NA,NA,NA
1125.HK,NA,21/11/2018,NA,NA,NA,NA,NA
0571.HK,NA,21/11/2018,NA,NA,NA,NA,NA
2211.HK,19/11/2018,NA,NA,NA,NA,NA,NA
0122.HK,15/11/2018,NA,NA,NA,NA,NA,NA
1002.HK,13/11/2018,NA,NA,NA,NA,NA,NA
8093.HK,NA,12/11/2018,NA,NA,NA,NA,NA
1622.HK,12/11/2018,NA,NA,NA,NA,NA,NA
1775.HK,NA,09/11/2018,NA,NA,NA,NA,NA
0592.HK,05/11/2018,NA,NA,NA,NA,NA,NA
0193.HK,NA,01/11/2018,NA,NA,NA,NA,NA
0673.HK,NA,01/11/2018,NA,NA,NA,NA,NA
1142.HK,NA,31/10/2018,NA,NA,NA,NA,NA
0391.HK,NA,31/10/2018,NA,NA,NA,NA,NA
0559.HK,NA,31/10/2018,NA,NA,NA,NA,NA
0383.HK,31/10/2018,NA,NA,NA,NA,NA,NA
0721.HK,NA,30/10/2018,NA,NA,NA,NA,NA
1975.HK,30/10/2018,NA,NA,NA,NA,NA,NA
0197.HK,NA,30/10/2018,NA,NA,NA,NA,NA
1046.HK,NA,30/10/2018,NA,NA,NA,NA,NA
0362.HK,NA,30/10/2018,NA,NA,NA,NA,NA
0399.HK,29/10/2018,NA,NA,NA,NA,NA,NA
0294.HK,29/10/2018,NA,NA,NA,NA,NA,NA
1082.HK,NA,29/10/2018,NA,NA,NA,NA,NA
1195.HK,NA,29/10/2018,NA,NA,NA,NA,NA
0070.HK,NA,29/10/2018,NA,NA,NA,NA,NA
0029.HK,29/10/2018,NA,NA,NA,NA,NA,NA
1419.HK,NA,29/10/2018,NA,NA,NA,NA,NA
0495.HK,NA,29/10/2018,NA,NA,NA,NA,NA
8021.HK,26/10/2018,NA,NA,NA,NA,NA,NA
0375.HK,26/10/2018,NA,NA,NA,NA,NA,NA
0789.HK,26/10/2018,NA,NA,NA,NA,NA,NA
0558.HK,26/10/2018,NA,NA,NA,NA,NA,NA
0348.HK,26/10/2018,NA,NA,NA,NA,NA,NA
0997.HK,NA,26/10/2018,NA,NA,NA,NA,NA
0841.HK,NA,26/10/2018,NA,NA,NA,NA,NA
0104.HK,NA,26/10/2018,NA,NA,NA,NA,NA
0224.HK,26/10/2018,NA,NA,NA,NA,NA,NA
0259.HK,26/10/2018,NA,NA,NA,NA,NA,NA
1360.HK,26/10/2018,NA,NA,NA,NA,NA,NA
0213.HK,NA,25/10/2018,NA,NA,NA,NA,NA
1173.HK,NA,25/10/2018,NA,NA,NA,NA,NA
1315.HK,NA,25/10/2018,NA,NA,NA,NA,NA
0475.HK,25/10/2018,NA,NA,NA,NA,NA,NA
0126.HK,NA,25/10/2018,NA,NA,NA,NA,NA
1752.HK,NA,25/10/2018,NA,NA,NA,NA,NA
0183.HK,NA,25/10/2018,NA,NA,NA,NA,NA
