stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
1166.HK,NA,25/10/2018,NA,NA,NA,NA,NA
1348.HK,NA,24/10/2018,NA,NA,NA,NA,NA
1673.HK,NA,24/10/2018,NA,NA,NA,NA,NA
0455.HK,NA,24/10/2018,NA,NA,NA,NA,NA
0216.HK,24/10/2018,NA,NA,NA,NA,NA,NA
3626.HK,NA,24/10/2018,NA,NA,NA,NA,NA
0160.HK,24/10/2018,NA,NA,NA,NA,NA,NA
1050.HK,24/10/2018,NA,NA,NA,NA,NA,NA
0332.HK,23/10/2018,NA,NA,NA,NA,NA,NA
1013.HK,NA,23/10/2018,NA,NA,NA,NA,NA
3708.HK,NA,23/10/2018,NA,NA,NA,NA,NA
0855.HK,NA,23/10/2018,NA,NA,NA,NA,NA
2689.HK,23/10/2018,NA,NA,NA,NA,NA,NA
0040.HK,22/10/2018,NA,NA,NA,NA,NA,NA
1627.HK,NA,19/10/2018,NA,NA,NA,NA,NA
0474.HK,19/10/2018,NA,NA,NA,NA,NA,NA
1341.HK,19/10/2018,NA,NA,NA,NA,NA,NA
0919.HK,19/10/2018,NA,NA,NA,NA,NA,NA
0017.HK,NA,19/10/2018,NA,NA,NA,NA,NA
1726.HK,NA,19/10/2018,NA,NA,NA,NA,NA
1104.HK,NA,19/10/2018,NA,NA,NA,NA,NA
